
#################################################################
# Summary Statistics
#################################################################

DIC = 4991.904

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.LO1_2018.Tillering.Rice_herb   0.206 0.093 0.062 0.074 0.136 0.195 0.265 0.372
p.LO1_2018.Tillering.Tour_herb   0.460 0.137 0.219 0.252 0.363 0.446 0.549 0.709
p.LO1_2018.Flowering.Detritivore 0.065 0.047 0.010 0.014 0.032 0.053 0.084 0.153
p.LO1_2018.Flowering.Rice_herb   0.742 0.118 0.460 0.524 0.668 0.762 0.831 0.899
p.LO1_2018.Flowering.Tour_herb   0.193 0.105 0.049 0.060 0.115 0.172 0.255 0.390
p.LO1_2018.Ripening.Detritivore  0.097 0.067 0.013 0.020 0.049 0.082 0.129 0.222
p.LO1_2018.Ripening.Rice_herb    0.778 0.107 0.518 0.575 0.717 0.796 0.858 0.915
p.LO1_2018.Ripening.Tour_herb    0.126 0.080 0.025 0.032 0.067 0.107 0.166 0.280
p.LO1_2019.Tillering.Detritivore 0.172 0.085 0.039 0.051 0.110 0.163 0.226 0.322
p.LO1_2019.Tillering.Rice_herb   0.693 0.088 0.518 0.547 0.636 0.695 0.754 0.835
p.LO1_2019.Tillering.Tour_herb   0.134 0.072 0.024 0.034 0.080 0.125 0.180 0.265
p.LO1_2019.Flowering.Detritivore 0.012 0.009 0.002 0.002 0.005 0.009 0.015 0.028
p.LO1_2019.Flowering.Rice_herb   0.969 0.016 0.929 0.937 0.960 0.972 0.980 0.989
p.LO1_2019.Flowering.Tour_herb   0.020 0.014 0.003 0.004 0.010 0.016 0.026 0.048
p.LO1_2019.Ripening.Detritivore  0.017 0.014 0.002 0.003 0.008 0.013 0.023 0.042
p.LO1_2019.Ripening.Rice_herb    0.971 0.017 0.931 0.941 0.963 0.974 0.982 0.990
p.LO1_2019.Ripening.Tour_herb    0.012 0.010 0.001 0.002 0.005 0.010 0.016 0.031
p.LO2_2018.Tillering.Detritivore 0.437 0.118 0.215 0.252 0.359 0.433 0.511 0.638
p.LO2_2018.Tillering.Rice_herb   0.301 0.092 0.131 0.157 0.238 0.298 0.362 0.459
p.LO2_2018.Tillering.Tour_herb   0.262 0.097 0.088 0.114 0.193 0.254 0.322 0.432
p.LO2_2018.Flowering.Detritivore 0.063 0.039 0.015 0.019 0.036 0.054 0.079 0.139
p.LO2_2018.Flowering.Rice_herb   0.857 0.062 0.710 0.739 0.823 0.868 0.901 0.938
p.LO2_2018.Flowering.Tour_herb   0.080 0.044 0.019 0.025 0.048 0.072 0.103 0.163
p.LO2_2018.Ripening.Detritivore  0.090 0.052 0.018 0.025 0.053 0.080 0.117 0.190
p.LO2_2018.Ripening.Rice_herb    0.861 0.061 0.718 0.741 0.826 0.870 0.906 0.944
p.LO2_2018.Ripening.Tour_herb    0.049 0.030 0.010 0.013 0.027 0.043 0.065 0.107
p.LO2_2019.Tillering.Detritivore 0.675 0.098 0.485 0.517 0.606 0.673 0.745 0.839
p.LO2_2019.Tillering.Rice_herb   0.232 0.084 0.082 0.100 0.171 0.230 0.290 0.375
p.LO2_2019.Tillering.Tour_herb   0.093 0.050 0.018 0.024 0.055 0.085 0.124 0.185
p.LO2_2019.Flowering.Detritivore 0.126 0.069 0.036 0.044 0.076 0.109 0.161 0.265
p.LO2_2019.Flowering.Rice_herb   0.837 0.076 0.650 0.688 0.798 0.853 0.893 0.931
p.LO2_2019.Flowering.Tour_herb   0.037 0.026 0.006 0.008 0.018 0.031 0.048 0.087
p.LO3_2018.Tillering.Detritivore 0.631 0.139 0.357 0.393 0.533 0.636 0.734 0.851
p.LO3_2018.Tillering.Rice_herb   0.155 0.079 0.046 0.057 0.095 0.140 0.199 0.311
p.LO3_2018.Tillering.Tour_herb   0.213 0.110 0.034 0.049 0.131 0.203 0.284 0.408
p.LO3_2018.Ripening.Detritivore  0.224 0.116 0.042 0.058 0.133 0.215 0.298 0.429
p.LO3_2018.Ripening.Rice_herb    0.710 0.120 0.469 0.507 0.629 0.716 0.801 0.891
p.LO3_2018.Ripening.Tour_herb    0.065 0.044 0.010 0.014 0.033 0.055 0.087 0.150
p.LO3_2019.Tillering.Detritivore 0.371 0.093 0.200 0.226 0.309 0.368 0.428 0.531
p.LO3_2019.Tillering.Rice_herb   0.483 0.084 0.320 0.343 0.427 0.484 0.539 0.619
p.LO3_2019.Tillering.Tour_herb   0.146 0.074 0.031 0.042 0.092 0.138 0.190 0.277
p.LO3_2019.Flowering.Detritivore 0.034 0.019 0.010 0.012 0.021 0.030 0.042 0.069
p.LO3_2019.Flowering.Rice_herb   0.936 0.027 0.873 0.887 0.923 0.941 0.956 0.971
p.LO3_2019.Flowering.Tour_herb   0.030 0.020 0.005 0.007 0.015 0.025 0.038 0.070
p.LO3_2019.Ripening.Detritivore  0.050 0.027 0.011 0.015 0.030 0.045 0.063 0.098
p.LO3_2019.Ripening.Rice_herb    0.932 0.031 0.860 0.876 0.916 0.937 0.954 0.972
p.LO3_2019.Ripening.Tour_herb    0.018 0.014 0.003 0.004 0.009 0.015 0.024 0.044
p.MC_2017.Tillering.Detritivore  0.568 0.130 0.303 0.355 0.482 0.566 0.655 0.785
p.MC_2017.Tillering.Rice_herb    0.182 0.065 0.083 0.091 0.135 0.172 0.220 0.304
p.MC_2017.Tillering.Tour_herb    0.249 0.107 0.052 0.073 0.177 0.247 0.318 0.432
p.MC_2017.Flowering.Detritivore  0.119 0.057 0.027 0.038 0.077 0.113 0.155 0.223
p.MC_2017.Flowering.Rice_herb    0.773 0.068 0.636 0.658 0.728 0.777 0.822 0.880
p.MC_2017.Flowering.Tour_herb    0.107 0.051 0.028 0.036 0.070 0.101 0.138 0.199
p.MC_2017.Ripening.Detritivore   0.169 0.074 0.031 0.048 0.115 0.168 0.220 0.288
p.MC_2017.Ripening.Rice_herb     0.766 0.074 0.626 0.646 0.716 0.765 0.817 0.893
p.MC_2017.Ripening.Tour_herb     0.065 0.036 0.013 0.018 0.039 0.059 0.085 0.132
p.MC1_2018.Tillering.Detritivore 0.130 0.074 0.023 0.032 0.076 0.120 0.174 0.267
p.MC1_2018.Tillering.Rice_herb   0.725 0.102 0.510 0.550 0.663 0.730 0.795 0.883
p.MC1_2018.Tillering.Tour_herb   0.144 0.089 0.022 0.031 0.076 0.128 0.193 0.314
p.MC1_2018.Flowering.Detritivore 0.008 0.007 0.001 0.001 0.004 0.006 0.011 0.021
p.MC1_2018.Flowering.Rice_herb   0.971 0.020 0.921 0.934 0.963 0.975 0.984 0.992
p.MC1_2018.Flowering.Tour_herb   0.021 0.018 0.002 0.003 0.009 0.016 0.027 0.055
p.MC1_2018.Ripening.Detritivore  0.012 0.011 0.001 0.002 0.005 0.010 0.016 0.032
p.MC1_2018.Ripening.Rice_herb    0.975 0.017 0.933 0.943 0.968 0.978 0.986 0.993
p.MC1_2018.Ripening.Tour_herb    0.013 0.013 0.001 0.002 0.005 0.009 0.017 0.036
p.MC1_2019.Tillering.Detritivore 0.266 0.120 0.057 0.085 0.179 0.259 0.343 0.474
p.MC1_2019.Tillering.Rice_herb   0.614 0.116 0.390 0.423 0.538 0.614 0.693 0.802
p.MC1_2019.Tillering.Tour_herb   0.120 0.077 0.020 0.027 0.061 0.105 0.158 0.270
p.MC1_2019.Flowering.Detritivore 0.021 0.015 0.003 0.004 0.010 0.017 0.027 0.049
p.MC1_2019.Flowering.Rice_herb   0.960 0.022 0.906 0.916 0.949 0.964 0.975 0.987
p.MC1_2019.Flowering.Tour_herb   0.020 0.016 0.002 0.003 0.009 0.016 0.026 0.051
p.MC1_2019.Ripening.Detritivore  0.030 0.022 0.003 0.005 0.014 0.025 0.040 0.072
p.MC1_2019.Ripening.Rice_herb    0.958 0.024 0.895 0.911 0.946 0.962 0.975 0.988
p.MC1_2019.Ripening.Tour_herb    0.012 0.010 0.001 0.002 0.005 0.009 0.016 0.032
p.MC2_2018.Tillering.Detritivore 0.107 0.070 0.019 0.025 0.058 0.092 0.141 0.235
p.MC2_2018.Tillering.Rice_herb   0.766 0.095 0.558 0.600 0.708 0.775 0.833 0.903
p.MC2_2018.Tillering.Tour_herb   0.127 0.080 0.018 0.026 0.068 0.112 0.172 0.273
p.MC2_2018.Flowering.Detritivore 0.007 0.006 0.001 0.001 0.003 0.005 0.008 0.018
p.MC2_2018.Flowering.Rice_herb   0.976 0.017 0.933 0.944 0.970 0.980 0.987 0.994
p.MC2_2018.Flowering.Tour_herb   0.017 0.016 0.002 0.003 0.007 0.014 0.023 0.046
p.MC2_2019.Tillering.Detritivore 0.550 0.108 0.336 0.374 0.478 0.551 0.621 0.728
p.MC2_2019.Tillering.Rice_herb   0.308 0.089 0.147 0.171 0.246 0.302 0.363 0.458
p.MC2_2019.Tillering.Tour_herb   0.143 0.076 0.025 0.035 0.087 0.133 0.190 0.281
p.MC2_2019.Flowering.Detritivore 0.076 0.034 0.023 0.029 0.050 0.071 0.094 0.141
p.MC2_2019.Flowering.Rice_herb   0.882 0.044 0.781 0.799 0.855 0.887 0.914 0.945
p.MC2_2019.Flowering.Tour_herb   0.043 0.028 0.007 0.009 0.022 0.037 0.058 0.095
p.MC3_2018.Tillering.Detritivore 0.430 0.140 0.162 0.205 0.332 0.428 0.523 0.663
p.MC3_2018.Tillering.Rice_herb   0.217 0.098 0.064 0.080 0.142 0.208 0.280 0.395
p.MC3_2018.Tillering.Tour_herb   0.352 0.121 0.134 0.169 0.270 0.344 0.427 0.573
p.MC3_2018.Flowering.Detritivore 0.085 0.061 0.014 0.019 0.042 0.068 0.112 0.210
p.MC3_2018.Flowering.Rice_herb   0.771 0.106 0.523 0.573 0.710 0.789 0.851 0.911
p.MC3_2018.Flowering.Tour_herb   0.143 0.078 0.037 0.046 0.085 0.128 0.186 0.297
p.MC3_2018.Ripening.Detritivore  0.124 0.085 0.018 0.026 0.062 0.105 0.166 0.290
p.MC3_2018.Ripening.Rice_herb    0.786 0.106 0.530 0.585 0.728 0.806 0.865 0.925
p.MC3_2018.Ripening.Tour_herb    0.090 0.057 0.019 0.023 0.049 0.076 0.119 0.201
p.MC3_2019.Tillering.Detritivore 0.233 0.089 0.074 0.095 0.170 0.227 0.288 0.387
p.MC3_2019.Tillering.Rice_herb   0.318 0.085 0.151 0.176 0.260 0.318 0.375 0.458
p.MC3_2019.Tillering.Tour_herb   0.450 0.087 0.294 0.314 0.389 0.447 0.502 0.602
p.MC3_2019.Flowering.Detritivore 0.031 0.022 0.006 0.007 0.016 0.025 0.041 0.073
p.MC3_2019.Flowering.Rice_herb   0.841 0.068 0.673 0.710 0.808 0.853 0.889 0.925
p.MC3_2019.Flowering.Tour_herb   0.128 0.061 0.045 0.053 0.084 0.116 0.158 0.246
p.MC3_2019.Ripening.Detritivore  0.047 0.033 0.007 0.010 0.024 0.039 0.061 0.111
p.MC3_2019.Ripening.Rice_herb    0.872 0.058 0.731 0.764 0.841 0.882 0.914 0.947
p.MC3_2019.Ripening.Tour_herb    0.081 0.044 0.023 0.027 0.049 0.072 0.104 0.163
p.MO_2017.Tillering.Detritivore  0.144 0.105 0.017 0.024 0.065 0.117 0.195 0.354
p.MO_2017.Tillering.Rice_herb    0.076 0.055 0.019 0.023 0.043 0.064 0.093 0.162
p.MO_2017.Tillering.Tour_herb    0.780 0.126 0.464 0.537 0.715 0.808 0.872 0.932
p.MO_2017.Flowering.Detritivore  0.040 0.029 0.005 0.007 0.019 0.033 0.054 0.098
p.MO_2017.Flowering.Rice_herb    0.446 0.124 0.225 0.256 0.365 0.439 0.518 0.650
p.MO_2017.Flowering.Tour_herb    0.514 0.123 0.252 0.314 0.442 0.518 0.591 0.704
p.MO_2017.Ripening.Detritivore   0.071 0.050 0.009 0.012 0.034 0.061 0.097 0.165
p.MO_2017.Ripening.Rice_herb     0.547 0.121 0.312 0.347 0.470 0.549 0.622 0.743
p.MO_2017.Ripening.Tour_herb     0.382 0.118 0.150 0.193 0.308 0.381 0.456 0.579
p.MO1_2018.Tillering.Detritivore 0.843 0.122 0.542 0.642 0.803 0.873 0.921 0.965
p.MO1_2018.Tillering.Rice_herb   0.028 0.049 0.004 0.006 0.011 0.019 0.029 0.063
p.MO1_2018.Tillering.Tour_herb   0.129 0.104 0.015 0.022 0.060 0.104 0.169 0.317
p.MO1_2018.Flowering.Detritivore 0.539 0.148 0.167 0.294 0.458 0.548 0.633 0.765
p.MO1_2018.Flowering.Rice_herb   0.300 0.137 0.091 0.115 0.210 0.283 0.367 0.520
p.MO1_2018.Flowering.Tour_herb   0.160 0.093 0.024 0.033 0.093 0.148 0.211 0.323
p.MO1_2018.Ripening.Detritivore  0.645 0.176 0.165 0.301 0.559 0.676 0.767 0.875
p.MO1_2018.Ripening.Rice_herb    0.269 0.157 0.061 0.078 0.159 0.238 0.342 0.570
p.MO1_2018.Ripening.Tour_herb    0.086 0.066 0.010 0.014 0.041 0.071 0.113 0.209
p.MO1_2019.Tillering.Detritivore 0.706 0.125 0.411 0.482 0.632 0.720 0.796 0.880
p.MO1_2019.Tillering.Rice_herb   0.152 0.071 0.060 0.070 0.104 0.137 0.184 0.287
p.MO1_2019.Tillering.Tour_herb   0.142 0.084 0.019 0.029 0.077 0.132 0.191 0.292
p.MO1_2019.Flowering.Detritivore 0.178 0.080 0.041 0.057 0.121 0.171 0.226 0.320
p.MO1_2019.Flowering.Rice_herb   0.751 0.081 0.584 0.616 0.697 0.757 0.808 0.879
p.MO1_2019.Flowering.Tour_herb   0.071 0.041 0.012 0.017 0.041 0.064 0.094 0.147
p.MO1_2019.Ripening.Detritivore  0.242 0.099 0.040 0.069 0.177 0.247 0.312 0.398
p.MO1_2019.Ripening.Rice_herb    0.717 0.095 0.540 0.566 0.650 0.710 0.781 0.884
