
#################################################################
# Summary Statistics
#################################################################

DIC = 5020.509

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.LO1_2018.Tillering.Rice_herb   0.191 0.107 0.039 0.051 0.108 0.173 0.257 0.393
p.LO1_2018.Tillering.Tour_herb   0.380 0.140 0.119 0.165 0.283 0.372 0.470 0.624
p.LO1_2018.Flowering.Detritivore 0.036 0.043 0.002 0.004 0.011 0.024 0.045 0.111
p.LO1_2018.Flowering.Rice_herb   0.708 0.140 0.380 0.444 0.622 0.729 0.813 0.895
p.LO1_2018.Flowering.Tour_herb   0.256 0.127 0.070 0.087 0.161 0.236 0.333 0.495
p.LO1_2018.Ripening.Detritivore  0.019 0.033 0.000 0.001 0.004 0.009 0.022 0.068
p.LO1_2018.Ripening.Rice_herb    0.806 0.116 0.522 0.593 0.744 0.830 0.893 0.944
p.LO1_2018.Ripening.Tour_herb    0.175 0.106 0.037 0.047 0.096 0.153 0.233 0.376
p.LO1_2019.Tillering.Detritivore 0.146 0.085 0.028 0.036 0.081 0.132 0.193 0.309
p.LO1_2019.Tillering.Rice_herb   0.740 0.089 0.556 0.592 0.681 0.744 0.803 0.880
p.LO1_2019.Tillering.Tour_herb   0.115 0.065 0.021 0.027 0.065 0.105 0.153 0.235
p.LO1_2019.Flowering.Detritivore 0.003 0.003 0.000 0.000 0.001 0.002 0.004 0.010
p.LO1_2019.Flowering.Rice_herb   0.973 0.018 0.928 0.939 0.964 0.976 0.985 0.993
p.LO1_2019.Flowering.Tour_herb   0.024 0.017 0.003 0.005 0.012 0.020 0.032 0.057
p.LO1_2019.Ripening.Detritivore  0.002 0.002 0.000 0.000 0.000 0.001 0.002 0.005
p.LO1_2019.Ripening.Rice_herb    0.984 0.011 0.955 0.963 0.979 0.987 0.992 0.997
p.LO1_2019.Ripening.Tour_herb    0.014 0.011 0.002 0.003 0.007 0.011 0.019 0.036
p.LO2_2018.Tillering.Detritivore 0.464 0.160 0.174 0.218 0.352 0.455 0.566 0.749
p.LO2_2018.Tillering.Rice_herb   0.332 0.115 0.115 0.146 0.253 0.328 0.408 0.531
p.LO2_2018.Tillering.Tour_herb   0.204 0.096 0.034 0.053 0.134 0.199 0.268 0.370
p.LO2_2018.Flowering.Detritivore 0.025 0.026 0.002 0.003 0.009 0.017 0.032 0.074
p.LO2_2018.Flowering.Rice_herb   0.887 0.055 0.755 0.786 0.856 0.896 0.926 0.959
p.LO2_2018.Flowering.Tour_herb   0.088 0.047 0.018 0.025 0.053 0.080 0.115 0.174
p.LO2_2018.Ripening.Detritivore  0.012 0.016 0.000 0.001 0.003 0.006 0.014 0.040
p.LO2_2018.Ripening.Rice_herb    0.934 0.038 0.842 0.863 0.916 0.941 0.961 0.981
p.LO2_2018.Ripening.Tour_herb    0.054 0.033 0.009 0.013 0.031 0.048 0.070 0.117
p.LO2_2019.Tillering.Detritivore 0.623 0.110 0.413 0.444 0.548 0.621 0.697 0.812
p.LO2_2019.Tillering.Rice_herb   0.311 0.097 0.118 0.148 0.244 0.312 0.376 0.465
p.LO2_2019.Tillering.Tour_herb   0.066 0.041 0.011 0.015 0.036 0.059 0.089 0.144
p.LO2_2019.Flowering.Detritivore 0.035 0.030 0.005 0.006 0.015 0.026 0.045 0.091
p.LO2_2019.Flowering.Rice_herb   0.932 0.040 0.825 0.854 0.916 0.942 0.960 0.978
p.LO2_2019.Flowering.Tour_herb   0.033 0.024 0.005 0.007 0.016 0.027 0.042 0.078
p.LO3_2018.Tillering.Detritivore 0.614 0.169 0.273 0.327 0.497 0.624 0.737 0.882
p.LO3_2018.Tillering.Rice_herb   0.215 0.112 0.040 0.055 0.132 0.201 0.287 0.415
p.LO3_2018.Tillering.Tour_herb   0.171 0.105 0.018 0.030 0.090 0.156 0.229 0.366
p.LO3_2018.Ripening.Detritivore  0.029 0.043 0.001 0.001 0.005 0.013 0.034 0.112
p.LO3_2018.Ripening.Rice_herb    0.900 0.070 0.710 0.764 0.867 0.917 0.950 0.977
p.LO3_2018.Ripening.Tour_herb    0.072 0.051 0.010 0.013 0.034 0.060 0.094 0.173
p.LO3_2019.Tillering.Detritivore 0.319 0.116 0.102 0.134 0.240 0.316 0.392 0.520
p.LO3_2019.Tillering.Rice_herb   0.555 0.097 0.360 0.395 0.490 0.556 0.617 0.718
p.LO3_2019.Tillering.Tour_herb   0.126 0.070 0.020 0.029 0.074 0.117 0.170 0.259
p.LO3_2019.Flowering.Detritivore 0.009 0.008 0.001 0.001 0.004 0.007 0.012 0.026
p.LO3_2019.Flowering.Rice_herb   0.956 0.024 0.896 0.910 0.945 0.961 0.974 0.986
p.LO3_2019.Flowering.Tour_herb   0.034 0.022 0.005 0.007 0.019 0.030 0.045 0.079
p.LO3_2019.Ripening.Detritivore  0.004 0.005 0.000 0.000 0.001 0.003 0.006 0.015
p.LO3_2019.Ripening.Rice_herb    0.975 0.016 0.934 0.944 0.967 0.979 0.987 0.994
