
#################################################################
# Summary Statistics
#################################################################

DIC = 5670.209

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.MO2_2018.Tillering.Detritivore 0.387 0.271 0.051 0.073 0.181 0.306 0.514 0.933
p.MO2_2018.Tillering.Rice_herb   0.161 0.115 0.023 0.030 0.078 0.135 0.215 0.369
p.MO2_2018.Tillering.Tour_herb   0.452 0.241 0.007 0.014 0.320 0.507 0.627 0.787
p.MO2_2018.Flowering.Detritivore 0.049 0.080 0.002 0.002 0.008 0.019 0.048 0.223
p.MO2_2018.Flowering.Rice_herb   0.629 0.188 0.215 0.272 0.511 0.656 0.770 0.893
p.MO2_2018.Flowering.Tour_herb   0.322 0.201 0.019 0.039 0.167 0.296 0.454 0.697
p.MO2_2019.Tillering.Detritivore 0.639 0.387 0.025 0.036 0.152 0.901 0.942 0.969
p.MO2_2019.Tillering.Rice_herb   0.066 0.044 0.013 0.017 0.036 0.055 0.084 0.152
p.MO2_2019.Tillering.Tour_herb   0.296 0.378 0.002 0.003 0.008 0.021 0.748 0.909
p.MO2_2019.Flowering.Detritivore 0.132 0.113 0.002 0.002 0.017 0.122 0.217 0.332
p.MO2_2019.Flowering.Rice_herb   0.625 0.242 0.086 0.130 0.492 0.717 0.801 0.885
p.MO2_2019.Flowering.Tour_herb   0.243 0.305 0.006 0.009 0.026 0.060 0.468 0.854
p.MO3_2018.Tillering.Detritivore 0.519 0.236 0.102 0.141 0.339 0.500 0.700 0.923
p.MO3_2018.Tillering.Rice_herb   0.157 0.112 0.020 0.027 0.073 0.132 0.217 0.365
p.MO3_2018.Tillering.Tour_herb   0.324 0.199 0.012 0.022 0.163 0.324 0.465 0.664
p.MO3_2018.Flowering.Detritivore 0.066 0.085 0.003 0.005 0.016 0.033 0.080 0.253
p.MO3_2018.Flowering.Rice_herb   0.661 0.181 0.247 0.327 0.541 0.680 0.806 0.915
p.MO3_2018.Flowering.Tour_herb   0.272 0.175 0.022 0.040 0.132 0.247 0.386 0.600
p.MO3_2019.Tillering.Detritivore 0.458 0.195 0.033 0.063 0.345 0.492 0.603 0.731
p.MO3_2019.Tillering.Rice_herb   0.008 0.006 0.001 0.002 0.004 0.006 0.010 0.019
p.MO3_2019.Tillering.Tour_herb   0.534 0.195 0.227 0.262 0.390 0.502 0.647 0.929
p.MO3_2019.Flowering.Detritivore 0.072 0.048 0.006 0.010 0.036 0.063 0.098 0.163
p.MO3_2019.Flowering.Rice_herb   0.072 0.044 0.015 0.018 0.040 0.062 0.095 0.159
p.MO3_2019.Flowering.Tour_herb   0.856 0.067 0.710 0.734 0.814 0.864 0.905 0.951
p.MO3_2019.Ripening.Detritivore  0.038 0.036 0.002 0.003 0.013 0.028 0.052 0.108
p.MO3_2019.Ripening.Rice_herb    0.146 0.063 0.043 0.054 0.098 0.139 0.186 0.257
p.MO3_2019.Ripening.Tour_herb    0.816 0.069 0.669 0.699 0.770 0.820 0.867 0.921
p.OC_2017.Tillering.Detritivore  0.685 0.146 0.370 0.435 0.590 0.694 0.796 0.910
p.OC_2017.Tillering.Rice_herb    0.219 0.115 0.043 0.057 0.129 0.208 0.294 0.429
p.OC_2017.Tillering.Tour_herb    0.095 0.087 0.007 0.010 0.035 0.071 0.130 0.267
p.OC_2017.Flowering.Detritivore  0.063 0.056 0.008 0.010 0.025 0.046 0.082 0.178
