"Source","Mean_SD_d13C","Mean_SD_d15N"
"Rice_herb","1.4 ± 0.2","1.5 ± 0.4"
"Tour_herb","0.9 ± 0.2","1.4 ± 0.3"
"Detritivore","0 ± 0.1","2 ± 0.2"
