"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"16","1002.3","...","1004.5","2017-06-16 00:01","1000.3","2017-06-16 23:51","26.3","29.8","2017-06-16 11:02","24.5","2017-06-16 00:01","...","87","75","2017-06-16 11:02","3.1","167","11.8","224","2017-06-16 14:33","39.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1001.3","...","1009.8","2017-06-17 04:56","999.6","2017-06-17 02:33","25.0","26.1","2017-06-17 00:41","23.5","2017-06-17 03:12","...","95","84","2017-06-17 00:11","1.7","171","7.6","182","2017-06-17 07:32","67.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1002.5","...","1004.5","2017-06-18 21:52","1000.7","2017-06-18 02:45","25.2","27.5","2017-06-18 12:23","23.5","2017-06-18 18:12","...","92","83","2017-06-18 14:14","2.8","171","9.4","183","2017-06-18 04:40","62.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1002.6","...","1004.3","2017-06-19 10:21","1001.5","2017-06-19 14:54","26.9","29.5","2017-06-19 13:11","24.5","2017-06-19 00:22","...","84","75","2017-06-19 21:08","2.9","190","9.7","177","2017-06-19 21:08","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1001.6","...","1003.2","2017-06-20 08:31","999.6","2017-06-20 03:37","29.0","32.0","2017-06-20 12:11","26.5","2017-06-20 04:43","...","72","57","2017-06-20 12:15","4.0","179","14.7","200","2017-06-20 12:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1002.7","...","1005.3","2017-06-21 22:03","1000.8","2017-06-21 15:21","29.3","32.3","2017-06-21 11:16","27.5","2017-06-21 05:07","...","74","58","2017-06-21 11:11","3.7","193","13.3","243","2017-06-21 15:21","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1004.6","...","1006.1","2017-06-22 22:31","1003.3","2017-06-22 03:35","29.6","32.3","2017-06-22 09:52","27.1","2017-06-22 04:11","...","76","61","2017-06-22 09:31","3.3","175","11.4","217","2017-06-22 11:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1004.0","...","1005.6","2017-06-23 00:05","1002.5","2017-06-23 16:48","29.1","31.5","2017-06-23 09:21","26.7","2017-06-23 05:07","...","80","67","2017-06-23 12:01","2.9","176","10.7","237","2017-06-23 12:28","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1002.4","...","1003.6","2017-06-24 08:21","1001.0","2017-06-24 15:27","29.1","31.6","2017-06-24 11:22","26.7","2017-06-24 05:12","...","78","67","2017-06-24 09:37","3.4","200","11.5","241","2017-06-24 11:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1002.7","...","1004.6","2017-06-25 22:43","1001.5","2017-06-25 16:15","29.7","32.1","2017-06-25 12:56","28.0","2017-06-25 03:46","...","73","61","2017-06-25 11:11","3.8","191","12.2","225","2017-06-25 10:52","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1004.3","...","1006.1","2017-06-26 22:04","1002.7","2017-06-26 14:43","29.9","32.6","2017-06-26 10:11","27.5","2017-06-26 04:13","...","75","61","2017-06-26 10:11","4.0","186","12.9","237","2017-06-26 13:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1005.7","...","1007.7","2017-06-27 21:25","1004.5","2017-06-27 14:52","29.5","32.0","2017-06-27 11:51","27.7","2017-06-27 04:23","...","80","68","2017-06-27 11:51","2.9","195","10.8","246","2017-06-27 12:17","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1006.4","...","1008.1","2017-06-28 22:28","1005.0","2017-06-28 16:13","29.3","32.2","2017-06-28 16:41","27.6","2017-06-28 02:34","...","79","65","2017-06-28 12:35","1.8","274","5.7","311","2017-06-28 14:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1005.9","...","1007.5","2017-06-29 00:01","1004.5","2017-06-29 15:45","29.2","31.7","2017-06-29 17:01","26.3","2017-06-29 05:17","...","76","60","2017-06-29 17:01","1.6","306","6.0","297","2017-06-29 11:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1005.1","...","1006.2","2017-06-30 19:51","1003.3","2017-06-30 15:23","28.6","31.7","2017-06-30 10:15","25.3","2017-06-30 21:01","...","76","59","2017-06-30 08:02","1.7","312","9.8","223","2017-06-30 18:38","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
