"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","999.2","...","1000.5","2017-06-01 08:51","997.3","2017-06-01 16:33","28.2","30.8","2017-06-01 14:21","26.6","2017-06-01 05:53","...","81","70","2017-06-01 14:23","4.2","178","12.2","181","2017-06-01 21:45","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","998.8","...","1002.1","2017-06-02 21:24","997.0","2017-06-02 04:22","26.4","28.8","2017-06-02 07:58","23.5","2017-06-02 21:41","...","91","82","2017-06-02 23:43","3.8","204","16.2","227","2017-06-02 10:10","110.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","999.7","...","1001.0","2017-06-03 08:42","998.3","2017-06-03 17:34","26.1","29.5","2017-06-03 11:52","23.6","2017-06-03 05:35","...","91","79","2017-06-03 13:17","2.1","195","10.9","244","2017-06-03 14:02","29.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1001.9","...","1004.5","2017-06-04 22:56","999.5","2017-06-04 01:32","26.3","30.7","2017-06-04 09:57","25.2","2017-06-04 13:36","...","91","74","2017-06-04 09:57","2.1","181","8.3","190","2017-06-04 18:58","15.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1004.5","...","1006.5","2017-06-05 22:51","1003.1","2017-06-05 02:52","26.7","30.5","2017-06-05 12:26","24.6","2017-06-05 05:04","...","93","81","2017-06-05 16:26","1.6","292","6.0","276","2017-06-05 14:27","11.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1006.0","...","1007.0","2017-06-06 06:37","1004.3","2017-06-06 15:55","28.6","32.0","2017-06-06 09:51","25.7","2017-06-06 05:31","...","86","70","2017-06-06 09:40","2.2","269","9.9","279","2017-06-06 14:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1006.4","...","1008.0","2017-06-07 23:01","1004.5","2017-06-07 14:52","28.9","31.5","2017-06-07 09:31","26.5","2017-06-07 05:05","...","82","70","2017-06-07 09:12","2.3","170","8.6","266","2017-06-07 13:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1006.8","...","1008.0","2017-06-08 09:43","1005.0","2017-06-08 16:12","28.2","30.3","2017-06-08 15:41","26.0","2017-06-08 05:13","...","86","74","2017-06-08 15:52","1.7","336","6.6","34","2017-06-08 15:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1006.1","...","1007.0","2017-06-09 00:01","1004.5","2017-06-09 16:56","28.4","31.3","2017-06-09 16:44","26.1","2017-06-09 05:31","...","81","67","2017-06-09 16:46","1.5","100","6.3","302","2017-06-09 11:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1004.8","...","1006.7","2017-06-10 00:01","1003.3","2017-06-10 17:44","29.2","31.5","2017-06-10 08:52","27.0","2017-06-10 04:42","...","81","69","2017-06-10 08:52","2.4","168","8.6","265","2017-06-10 13:25","1.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1003.7","...","1005.0","2017-06-11 20:41","1002.0","2017-06-11 15:32","28.8","31.7","2017-06-11 13:02","25.8","2017-06-11 19:29","...","83","63","2017-06-11 18:32","2.4","173","9.0","153","2017-06-11 18:36","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1004.5","...","1006.7","2017-06-12 22:39","1002.7","2017-06-12 15:05","28.6","32.3","2017-06-12 13:11","24.2","2017-06-12 17:49","...","81","64","2017-06-12 16:35","2.4","169","10.6","153","2017-06-12 17:31","49.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1004.5","...","1006.0","2017-06-13 00:01","1003.0","2017-06-13 14:24","29.5","33.6","2017-06-13 11:01","26.6","2017-06-13 00:54","...","74","57","2017-06-13 11:01","3.7","172","14.3","215","2017-06-13 15:54","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1004.7","...","1006.6","2017-06-14 09:12","1002.5","2017-06-14 02:46","26.1","29.5","2017-06-14 00:29","24.0","2017-06-14 15:56","...","88","65","2017-06-14 02:02","3.7","171","15.1","183","2017-06-14 04:55","177.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1004.3","...","1005.5","2017-06-15 22:21","1003.0","2017-06-15 16:05","24.8","27.0","2017-06-15 00:25","23.0","2017-06-15 07:31","...","91","79","2017-06-15 00:25","2.1","182","8.4","149","2017-06-15 08:22","98.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
