"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1003.2","...","1004.4","2019-06-01 00:02","1001.3","2019-06-01 15:54","27.9","40.3","2019-06-01 10:52","25.8","2019-06-01 06:51","...","83","67","2019-06-01 11:22","2.6","201","10.6","249","2019-06-01 12:55","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1002.4","...","1004.4","2019-06-02 22:31","1000.6","2019-06-02 16:28","29.0","32.7","2019-06-02 13:41","25.7","2019-06-02 03:55","...","75","61","2019-06-02 13:25","3.9","170","13.2","180","2019-06-02 03:27","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1003.1","...","1004.1","2019-06-03 10:43","1001.9","2019-06-03 03:14","29.1","31.3","2019-06-03 10:11","27.5","2019-06-03 22:02","...","71","63","2019-06-03 16:24","3.1","182","11.0","223","2019-06-03 10:02","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1004.4","...","1006.0","2019-06-04 11:25","1002.6","2019-06-04 01:41","27.8","30.1","2019-06-04 10:21","25.0","2019-06-04 11:36","...","74","66","2019-06-04 02:24","2.4","176","10.9","184","2019-06-04 14:10","17.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1005.9","...","1007.6","2019-06-05 22:31","1004.4","2019-06-05 04:49","28.6","31.8","2019-06-05 14:22","24.6","2019-06-05 02:34","...","76","60","2019-06-05 08:04","1.8","150","6.7","316","2019-06-05 12:47","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1006.1","...","1007.6","2019-06-06 10:01","1004.5","2019-06-06 03:01","29.3","32.2","2019-06-06 11:32","26.8","2019-06-06 04:47","...","73","57","2019-06-06 17:55","3.0","174","10.7","244","2019-06-06 11:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1005.7","...","1007.1","2019-06-07 07:11","1004.7","2019-06-07 15:29","29.4","32.3","2019-06-07 09:31","27.0","2019-06-07 05:34","...","74","60","2019-06-07 09:33","3.2","173","11.3","272","2019-06-07 13:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1003.6","...","1005.5","2019-06-08 08:21","1001.4","2019-06-08 23:33","29.3","32.7","2019-06-08 15:53","26.7","2019-06-08 02:21","...","73","58","2019-06-08 12:39","3.2","186","10.1","215","2019-06-08 13:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1001.2","...","1003.1","2019-06-09 10:01","999.4","2019-06-09 15:53","30.1","33.0","2019-06-09 14:31","27.6","2019-06-09 03:32","...","68","56","2019-06-09 14:35","4.0","184","13.0","183","2019-06-09 09:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
