"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","999.5","...","1001.7","2019-06-10 11:36","998.4","2019-06-10 15:38","27.9","31.0","2019-06-10 09:01","23.7","2019-06-10 11:46","...","77","60","2019-06-10 09:01","3.3","178","10.5","178","2019-06-10 07:19","81.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1000.1","...","1002.6","2019-06-11 22:33","996.8","2019-06-11 05:14","26.0","29.0","2019-06-11 12:01","24.0","2019-06-11 23:51","...","91","71","2019-06-11 01:56","2.6","197","12.5","200","2019-06-11 09:02","71.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1002.0","...","1003.1","2019-06-12 09:47","1001.1","2019-06-12 01:43","24.0","25.3","2019-06-12 09:21","22.7","2019-06-12 06:01","...","99","94","2019-06-12 09:27","1.6","24","6.6","71","2019-06-12 06:01","21.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","998.8","...","1001.7","2019-06-13 00:01","996.4","2019-06-13 18:04","26.1","28.7","2019-06-13 16:13","23.2","2019-06-13 00:01","...","95","85","2019-06-13 21:46","1.6","33","10.6","184","2019-06-13 21:48","43.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","997.5","...","999.8","2019-06-14 21:56","994.7","2019-06-14 03:41","25.4","27.8","2019-06-14 15:25","23.5","2019-06-14 08:48","...","87","70","2019-06-14 17:21","2.7","19","10.6","174","2019-06-14 03:47","33.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1000.7","...","1002.2","2019-06-15 23:01","999.1","2019-06-15 00:01","26.6","30.5","2019-06-15 11:04","23.5","2019-06-15 03:21","...","66","46","2019-06-15 11:01","2.8","10","12.2","360","2019-06-15 12:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1002.7","...","1004.9","2019-06-16 21:34","1000.5","2019-06-16 02:45","27.1","31.5","2019-06-16 15:51","23.0","2019-06-16 05:01","...","74","45","2019-06-16 16:05","1.7","59","7.7","129","2019-06-16 20:58","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1005.2","...","1007.1","2019-06-17 20:14","1003.8","2019-06-17 00:56","28.1","31.0","2019-06-17 16:23","26.1","2019-06-17 21:05","...","81","66","2019-06-17 14:52","1.7","152","7.0","200","2019-06-17 20:10","17.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1004.9","...","1005.9","2019-06-18 00:01","1003.8","2019-06-18 16:31","29.8","33.5","2019-06-18 11:01","26.7","2019-06-18 00:35","...","77","60","2019-06-18 11:01","2.3","190","8.9","224","2019-06-18 10:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1003.5","...","1004.8","2019-06-19 06:51","1001.4","2019-06-19 16:21","29.9","32.3","2019-06-19 09:54","28.2","2019-06-19 04:04","...","75","60","2019-06-19 09:12","3.4","244","11.5","267","2019-06-19 13:30","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1002.1","...","1003.3","2019-06-20 08:41","1000.9","2019-06-20 16:23","30.1","32.7","2019-06-20 11:02","27.8","2019-06-20 02:31","...","75","61","2019-06-20 10:15","3.6","187","11.2","217","2019-06-20 16:11","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1001.0","...","1002.5","2019-06-21 09:01","999.7","2019-06-21 15:59","30.3","33.1","2019-06-21 15:52","27.8","2019-06-21 04:41","...","72","58","2019-06-21 15:52","4.0","177","12.1","250","2019-06-21 11:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","999.8","...","1001.1","2019-06-22 00:03","998.1","2019-06-22 16:44","30.7","33.5","2019-06-22 12:01","29.0","2019-06-22 01:22","...","68","55","2019-06-22 12:13","3.7","187","12.8","208","2019-06-22 12:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1000.8","...","1003.1","2019-06-23 21:54","997.7","2019-06-23 03:03","27.5","30.0","2019-06-23 12:24","25.0","2019-06-23 09:23","...","85","69","2019-06-23 03:51","2.7","181","15.0","219","2019-06-23 08:53","47.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1003.7","...","1005.2","2019-06-24 22:31","1001.0","2019-06-24 02:51","25.5","26.7","2019-06-24 17:31","24.1","2019-06-24 05:08","...","93","77","2019-06-24 07:21","1.3","97","7.0","156","2019-06-24 05:12","97.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1003.1","...","1004.8","2019-06-25 00:01","1001.8","2019-06-25 23:43","27.3","32.6","2019-06-25 09:11","24.5","2019-06-25 04:01","...","82","55","2019-06-25 09:13","1.7","122","9.5","208","2019-06-25 15:52","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","999.8","...","1100.0","2019-06-26 12:59","997.5","2019-06-26 17:03","28.4","32.2","2019-06-26 14:51","25.3","2019-06-26 04:13","...","73","59","2019-06-26 14:51","2.6","177","10.4","223","2019-06-26 11:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","997.8","...","998.9","2019-06-27 11:31","996.0","2019-06-27 15:51","29.6","33.1","2019-06-27 16:41","27.0","2019-06-27 01:01","...","73","60","2019-06-27 16:44","3.0","181","11.7","224","2019-06-27 11:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","998.2","...","999.2","2019-06-28 07:03","996.6","2019-06-28 15:08","30.2","33.7","2019-06-28 13:41","27.1","2019-06-28 05:11","...","76","59","2019-06-28 09:41","2.9","177","10.3","273","2019-06-28 14:59","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","998.0","...","999.3","2019-06-29 08:32","996.5","2019-06-29 16:01","30.3","33.5","2019-06-29 14:12","28.5","2019-06-29 05:31","...","76","62","2019-06-29 14:12","2.6","175","8.5","245","2019-06-29 09:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","998.6","...","1000.0","2019-06-30 23:41","997.2","2019-06-30 14:41","29.8","32.6","2019-06-30 15:53","27.7","2019-06-30 22:12","...","77","66","2019-06-30 09:15","2.4","168","8.6","276","2019-06-30 11:13","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
