"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.1","...","1010.5","2017-05-01 07:38","1007.6","2017-05-01 16:41","23.9","27.7","2017-05-01 14:43","18.8","2017-05-01 05:11","...","64","31","2017-05-01 14:27","1.5","112","5.9","319","2017-05-01 10:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1008.4","...","1009.7","2017-05-02 07:42","1007.2","2017-05-02 18:33","24.9","28.8","2017-05-02 09:54","22.3","2017-05-02 01:14","...","78","52","2017-05-02 11:05","1.6","61","6.1","303","2017-05-02 12:19","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1008.2","...","1010.0","2017-05-03 08:14","1006.7","2017-05-03 14:50","25.5","27.8","2017-05-03 12:21","23.8","2017-05-03 23:52","...","83","76","2017-05-03 08:52","2.1","357","9.0","2","2017-05-03 14:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1007.8","...","1009.0","2017-05-04 22:05","1006.7","2017-05-04 13:31","26.1","28.8","2017-05-04 14:52","23.2","2017-05-04 02:28","...","83","71","2017-05-04 14:05","1.7","129","6.0","274","2017-05-04 15:32","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1009.5","...","1011.8","2017-05-05 22:14","1007.5","2017-05-05 01:01","26.5","29.0","2017-05-05 11:02","23.8","2017-05-05 03:41","...","82","71","2017-05-05 10:54","1.8","1","5.8","306","2017-05-05 11:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1010.9","...","1012.5","2017-05-06 09:54","1009.3","2017-05-06 15:56","25.7","28.3","2017-05-06 11:24","22.5","2017-05-06 22:21","...","83","73","2017-05-06 13:54","2.6","18","10.6","21","2017-05-06 14:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1010.1","...","1011.8","2017-05-07 00:02","1007.3","2017-05-07 16:17","24.8","27.3","2017-05-07 12:34","22.6","2017-05-07 01:04","...","78","71","2017-05-07 12:53","3.1","7","13.4","29","2017-05-07 11:49","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1007.4","...","1010.0","2017-05-08 00:02","1005.0","2017-05-08 16:53","26.0","28.0","2017-05-08 13:06","23.5","2017-05-08 02:22","...","81","73","2017-05-08 15:31","1.8","277","6.0","296","2017-05-08 08:39","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1007.5","...","1009.1","2017-05-09 21:44","1005.2","2017-05-09 02:51","26.6","29.0","2017-05-09 16:34","23.6","2017-05-09 07:17","...","80","69","2017-05-09 16:41","2.2","274","9.6","194","2017-05-09 04:57","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
