"Source","d13C","d15N","Concd13C","Concd15N","Farm"
"Rice_herb",-28.33,4.53,54.9,9.11,"GO_2017"
"Rice_herb",-30.87,6.48,53.27,8.35,"GO_2017"
"Rice_herb",-30.81,6.27,51.52,8.35,"GO_2017"
"Rice_herb",-28.32,5.28,53.51,9.48,"GO_2017"
"Rice_herb",-29.3,5.27,52.18,9.41,"GO_2017"
"Rice_herb",-28.28,3.93,53.94,9.23,"GO_2017"
"Rice_herb",-29.16,3.59,53.5,9.37,"GC_2017"
"Rice_herb",-28.97,3.84,53.56,9.26,"GC_2017"
"Rice_herb",-28.93,4.67,53.36,9.33,"GC_2017"
"Rice_herb",-29.66,4.04,52.7,9.28,"GC_2017"
"Rice_herb",-30.01,6.62,56.22,7.47,"GC_2017"
"Rice_herb",-28.12,5.69,50.57,9.47,"GC_2017"
"Rice_herb",-27.92,3.4,50.57,11.08,"OO_2017"
"Rice_herb",-29.17,5.05,49.95,10.98,"OO_2017"
"Rice_herb",-29.35,5.42,46.09,10.16,"OO_2017"
"Rice_herb",-20.12,7.55,51.51,10.34,"OO_2017"
"Rice_herb",-28.99,5.09,53.99,8.44,"OO_2017"
"Rice_herb",-28.37,5.42,52.09,9.56,"OO_2017"
"Rice_herb",-28.69,8.08,53.08,10.32,"OC_2017"
"Rice_herb",-27.85,6.48,52.52,10.47,"OC_2017"
"Rice_herb",-28.47,5.5,50.85,10.78,"OC_2017"
"Rice_herb",-28.76,6.16,53.54,9.06,"OC_2017"
"Rice_herb",-27.98,6.19,51.08,9.3,"OC_2017"
"Rice_herb",-28.34,6.95,51.66,9.44,"OC_2017"
"Rice_herb",-26.8524719781575,8.14990974804007,65.9726207761216,12.9554171221335,"MO1_2018"
"Rice_herb",-27.4010750826838,7.6688723941429,50.3135304503535,9.62471747483534,"MO1_2018"
"Rice_herb",-25.4501002469691,9.4617714434725,49.6567780845472,11.0859587849368,"MO1_2018"
"Rice_herb",-28.1684388665808,8.15894261951725,49.3844633443458,9.92418877270591,"MO1_2018"
"Rice_herb",-27.4104993515513,9.23746337878315,50.9131254871143,10.2889017074025,"MO1_2018"
"Rice_herb",-25.3758789117656,7.32203907633484,50.6743620408175,10.2706655495596,"MO1_2018"
"Rice_herb",-17.4740281921662,7.70500075223966,40.7302839351799,5.7347960217472,"MO2_2018"
"Rice_herb",-11.92587391389,4.54310902354647,49.9022999457006,10.5322789692023,"MO2_2018"
"Rice_herb",-26.8294991966929,6.80045762298593,50.798876467463,11.2799628681349,"MO2_2018"
"Rice_herb",-25.2823784656372,7.2052324464432,52.7987316718995,9.69265623062057,"MO2_2018"
"Rice_herb",-22.215246672509,7.14663765392137,47.6647083725912,9.38341658277274,"MO2_2018"
"Rice_herb",-11.6120823527166,4.0488684940253,47.2587858981728,10.9057685783624,"MO3_2018"
"Rice_herb",-30.6707320700529,12.5785149579255,48.1038555692774,9.21993538620097,"MO3_2018"
"Rice_herb",-14.2651088141977,10.6286741721735,51.9068942417716,10.2006669440676,"MO3_2018"
"Rice_herb",-17.5276326575406,7.5048393150254,49.4930877156184,9.38383844198277,"MO3_2018"
