"d13C","d15N","Farm","Stage"
-24.0113315633284,9.33961426768758,"MO2_2018","Flowering"
-24.2351523205149,6.6621873015158,"LO1_2018","Flowering"
-26.9208540103701,7.70403764369824,"SO1_2018","Flowering"
-27.5188311114653,6.3088789331544,"SO1_2018","Flowering"
-27.8122119313811,5.48341711037371,"LC3_2018","Flowering"
-27.1665525873221,7.60206826845569,"LO2_2018","Flowering"
-23.1776275853284,10.0208363481915,"LC1_2018","Flowering"
-24.8450226426656,7.68169694695198,"SC1_2018","Flowering"
-25.1931653808381,6.48152250121589,"MO1_2018","Ripening"
-27.101613334402,7.67081600430308,"MC1_2018","Ripening"
-26.0066691580842,7.46734593340497,"MC3_2018","Ripening"
-24.3529795949732,6.71367491602002,"LO1_2018","Ripening"
-28.5887797437011,7.46674131654042,"LO2_2018","Ripening"
-26.244881808873,9.3394032512856,"LO3_2018","Ripening"
-27.64816064655,8.16903549985126,"LO3_2018","Ripening"
-25.44,7.51,"MC1_2019","Tillering"
-24.79,9.25,"MC1_2019","Tillering"
-27.45,7.55,"MC1_2019","Tillering"
-24.74,7.38,"MO1_2019","Tillering"
-23.47,5.39,"MO1_2019","Tillering"
-24.42,9.77,"MO1_2019","Tillering"
-23.21,8.85,"MO1_2019","Tillering"
-24.65,9.54,"MO1_2019","Tillering"
-24.65,7.61,"MC2_2019","Tillering"
-24.54,9.62,"MC2_2019","Tillering"
-24.19,10.66,"MC2_2019","Tillering"
-24.74,10.85,"MO2_2019","Tillering"
-23.83,12.41,"MO2_2019","Tillering"
-24.06,11.44,"MO2_2019","Tillering"
-24.55943399,7.626823566,"MC3_2019","Tillering"
-23.18127762,7.853984661,"MC3_2019","Tillering"
-22.89419631,8.086659436,"MC3_2019","Tillering"
-22.71424522,8.610135499,"MC3_2019","Tillering"
-23.12091967,8.509086649,"MC3_2019","Tillering"
-23.00394369,7.694417017,"MC3_2019","Tillering"
-23.19118637,8.49314639,"MC3_2019","Tillering"
-23.03674306,9.710590657,"MO3_2019","Tillering"
-23.99110899,9.469823552,"MO3_2019","Tillering"
-23.83188313,9.649705284,"MO3_2019","Tillering"
-23.05828106,10.16413675,"MO3_2019","Tillering"
-23.21273067,9.753535258,"MO3_2019","Tillering"
-24.48120157,7.761843713,"LC1_2019","Tillering"
-24.16786716,8.346914562,"LC1_2019","Tillering"
-23.84547854,7.699278952,"LC1_2019","Tillering"
-23.92797535,8.316998034,"LC1_2019","Tillering"
-24.39424716,7.515470335,"LC1_2019","Tillering"
-23.60369698,8.06397455,"LC1_2019","Tillering"
-23.891518,8.302544008,"LC1_2019","Tillering"
-24.29776614,7.876114885,"LC1_2019","Tillering"
