"Sample.ID","Family","d13C","C.amount_ug","d15N","N.amount_ug","Total.amount_mg","Farmtype","Landscape","Stage","Farm.ID","Date"
"20180608SCILC1","SCI",-26.0114275736547,481.553019916012,5.97008271417755,83.2884545594472,"1.025","Cv","Land","Flowering","LC1","20180608"
"20180608DELLC1","DEL",-27.6077492387108,481.967809368644,3.91964646335595,82.573066928727,"0.953","Cv","Land","Flowering","LC1","20180608"
"20180608CICLC1","CIC",-28.1655987000185,604.663784101039,2.62972845611536,111.397762488937,"1.17","Cv","Land","Flowering","LC1","20180608"
"20180608TETLC1","TET",-23.1776275853284,534.423685463756,10.0208363481915,138.907135445338,"1.165","Cv","Land","Flowering","LC1","20180608"
"20180608DELLC1","DEL",-27.7733859460187,616.675914154615,2.92171488835945,116.768098518394,"1.199","Cv","Land","Flowering","LC1","20180608"
"20180608CICLC1","CIC",-28.3111065003482,591.821502646977,3.30218512653015,119.48645936731,"1.187","Cv","Land","Flowering","LC1","20180608"
"20180608DELLC1","DEL",-27.3417622159953,380.704078402535,2.86965862859672,74.0537128527097,"0.751","Cv","Land","Flowering","LC1","20180608"
"20180608CICLC1","CIC",-27.1335766717793,605.492257049625,3.3151767763289,126.959190259217,"1.209","Cv","Land","Flowering","LC1","20180608"
"20180608TETSC1","TET",-24.8450226426656,290.13714202957,7.68169694695198,76.4055771179448,"0.628","Cv","Sea","Flowering","SC1","20180608"
"20180608COCSC1","COC",-28.0799418387981,634.277073714444,8.41158918817328,120.845438959578,"1.236","Cv","Sea","Flowering","SC1","20180608"
"20180608HESSC1","HES",-30.2607787337025,531.729049154258,7.53994467570897,133.036287591074,"1.219","Cv","Sea","Flowering","SC1","20180608"
"20180608MUSSC1","MUS",-24.8230536661288,499.387287927291,11.1359485981453,112.213644291485,"1.061","Cv","Sea","Flowering","SC1","20180608"
"20180608COCSC1","COC",-26.3702750359838,475.745772410338,8.65296759227869,91.0190987598878,"0.951","Cv","Sea","Flowering","SC1","20180608"
"20180608SCISC1","SCI",-25.8317257539807,445.666698053577,6.75211456469201,97.6224875732592,"0.926","Cv","Sea","Flowering","SC1","20180608"
"20180608SCISC1","SCI",-26.3823022024414,623.30262710288,8.77133821775836,128.724880320875,"1.314","Cv","Sea","Flowering","SC1","20180608"
"20180608DELSC1","DEL",-29.2439489374378,603.421060737532,4.86806136586246,100.923000961148,"1.13","Cv","Sea","Flowering","SC1","20180608"
"20180608DELSC1","DEL",-29.4328559050449,462.263257610793,5.20208242194035,71.2582256625385,"0.846","Cv","Sea","Flowering","SC1","20180608"
"20180608CHLSC1","CHL",-25.6056350994103,333.354405579022,10.6132036340268,62.5272306851078,"0.709","Cv","Sea","Flowering","SC1","20180608"
"20180608CICSC1","CIC",-29.3245614254862,496.898991735419,5.32209259513484,93.3680876102427,"0.961","Cv","Sea","Flowering","SC1","20180608"
"20180608DELSC1","DEL",-28.9399596149085,568.618014684173,5.8344176400878,101.739501326841,"1.086","Cv","Sea","Flowering","SC1","20180608"
"20180608MUSSC1","MUS",-26.5819148870788,552.040525909356,11.7891038463057,112.723545941654,"1.073","Cv","Sea","Flowering","SC1","20180608"
"20180608DELSC1","DEL",-28.6216693470345,593.892959184171,6.13757201434498,102.964161500896,"1.118","Cv","Sea","Flowering","SC1","20180608"
"20180608SCISC1","SCI",-25.850898845085,600.728436061002,8.72044631253264,127.230849611781,"1.273","Cv","Sea","Flowering","SC1","20180608"
"20180608DELMO2","DEL",-27.5394470066639,439.857199600778,6.90649231144397,76.0306689290265,"0.863","Or","Mount","Flowering","MO2","20180608"
"20180608COCMO2","COC",-28.3994076431475,431.97229755363,9.35545885874104,56.0095177241061,"0.757","Or","Mount","Flowering","MO2","20180608"
"20180608ACRMO2","ACR",-26.4555853619185,592.85723672417,9.30720549832693,94.3552248843327,"1.129","Or","Mount","Flowering","MO2","20180608"
"20180608PENMO2","PEN",-25.7995147738498,547.481195116704,6.7263462894337,117.923467317005,"1.106","Or","Mount","Flowering","MO2","20180608"
"20180629PENMO1","PEN",-29.2811443165997,669.311678714474,7.55587083056869,108.744269912779,"1.172","Or","Mount","Ripening","MO1","20180629"
"20180629CICMO1","CIC",-27.2738232801681,567.280750336673,5.80337755990499,88.5846602402296,"1.014","Or","Mount","Ripening","MO1","20180629"
"20180629EPHMO1","EPH",-18.6268127909101,448.179882845739,12.1928325327121,95.5775170635332,"0.947","Or","Mount","Ripening","MO1","20180629"
"20180629PENMO1","PEN",-18.6539054165494,656.791582429649,4.5189766573191,118.775924998186,"1.181","Or","Mount","Ripening","MO1","20180629"
"20180629ARAMO1","ARA",-25.1931653808381,556.897177505542,6.48152250121589,130.311024267614,"1.128","Or","Mount","Ripening","MO1","20180629"
"20180629COCMO1","COC",-28.8213275593985,674.530569243561,7.57291012953114,93.2482742477093,"1.153","Or","Mount","Ripening","MO1","20180629"
"20180629CICMO1","CIC",-25.047355389667,540.294148474522,3.57690922616047,104.103448686774,"1.005","Or","Mount","Ripening","MO1","20180629"
"20180629CICMO2","CIC",-27.2065021747764,618.234530187598,6.71464651699687,118.00539886146,"1.554","Or","Mount","Ripening","MO2","20180629"
"20180629DELMO2","DEL",-26.3510938796502,533.034459541012,4.41729420637188,104.103448686774,"1.008","Or","Mount","Ripening","MO2","20180629"
"20180629CICMO2","CIC",-27.3650199459893,558.973481014122,5.83915065064301,108.744269912779,"1.065","Or","Mount","Ripening","MO2","20180629"
"20180629MUSMO2","MUS",-25.8105230987704,425.472802048896,11.6829130060132,115.692680812205,"0.896","Or","Mount","Ripening","MO2","20180629"
"20180629CICMO2","CIC",-27.4693090384738,726.790125067307,6.34199070300907,133.379833025327,"1.377","Or","Mount","Ripening","MO2","20180629"
"20180629CICMO2","CIC",-26.4512512943243,495.738686281623,6.49191557374507,97.9050504207465,"0.948","Or","Mount","Ripening","MO2","20180629"
"20180629PYRMO2","PYR",-29.1033771247205,589.102978190014,10.5638886688357,141.803387071774,"1.197","Or","Mount","Ripening","MO2","20180629"
"20180629CICMO3","CIC",-21.2439417695311,774.9823683354,6.38298831501013,139.508333428164,"1.424","Or","Mount","Ripening","MO3","20180629"
"20180629PENMO3","PEN",-21.5935222201151,653.662714458072,5.31245690505241,119.546261195068,"1.259","Or","Mount","Ripening","MO3","20180629"
"20180629CICMO3","CIC",-13.2669102930828,714.236116526702,2.60077331057094,131.845808526161,"1.318","Or","Mount","Ripening","MO3","20180629"
