Farm_ID,Area,Forest_cover_%
MC1,1498139.67,0.476872668
MC2,1794706.91,0.571272952
MC3,858392.73,0.273234892
MO1,1384144.34,0.440586827
MO2,1836179.66,0.584474139
MO3,970950.04,0.309062997
LC1,12112.18,0.003855427
LC2,614653.95,0.195650429
LC3,1147434.3,0.365239681
LO1,1224576.48,0.3897948
LO2,601109.5,0.191339097
LO3,414069.8,0.131802511
SC1,271067.63,0.086283506
SO1,161371.57,0.051366166
