
#################################################################
# Summary Statistics
#################################################################

DIC = 4766.101

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.LO2_2018.Ripening.Detritivore  0.021 0.041 0.000 0.000 0.002 0.006 0.021
p.LO2_2018.Ripening.Rice_herb    0.940 0.144 0.497 0.786 0.952 0.983 0.994
p.LO2_2018.Ripening.Tour_herb    0.039 0.137 0.000 0.000 0.001 0.004 0.016
p.LO3_2018.Tillering.Detritivore 0.106 0.148 0.000 0.000 0.008 0.038 0.146
p.LO3_2018.Tillering.Rice_herb   0.831 0.212 0.115 0.385 0.770 0.915 0.975
p.LO3_2018.Tillering.Tour_herb   0.063 0.159 0.000 0.000 0.003 0.012 0.042
p.LO3_2018.Ripening.Detritivore  0.020 0.034 0.000 0.000 0.002 0.007 0.022
p.LO3_2018.Ripening.Rice_herb    0.944 0.144 0.437 0.823 0.955 0.983 0.994
p.LO3_2018.Ripening.Tour_herb    0.036 0.138 0.000 0.000 0.001 0.004 0.015
p.LO3_2019.Tillering.Detritivore 0.045 0.121 0.000 0.000 0.004 0.015 0.037
p.LO3_2019.Tillering.Rice_herb   0.901 0.215 0.049 0.199 0.933 0.969 0.988
p.LO3_2019.Tillering.Tour_herb   0.054 0.179 0.000 0.000 0.002 0.007 0.022
p.LO3_2019.Ripening.Detritivore  0.008 0.018 0.000 0.000 0.001 0.003 0.007
p.LO3_2019.Ripening.Rice_herb    0.958 0.154 0.242 0.897 0.982 0.993 0.997
p.LO3_2019.Ripening.Tour_herb    0.034 0.152 0.000 0.000 0.001 0.002 0.008
p.MC_2017.Tillering.Detritivore  0.118 0.165 0.000 0.001 0.008 0.042 0.162
p.MC_2017.Tillering.Rice_herb    0.803 0.228 0.139 0.298 0.711 0.895 0.974
p.MC_2017.Tillering.Tour_herb    0.080 0.165 0.000 0.000 0.003 0.014 0.068
p.MC1_2018.Tillering.Detritivore 0.102 0.157 0.000 0.001 0.007 0.034 0.125
p.MC1_2018.Tillering.Rice_herb   0.829 0.223 0.127 0.295 0.780 0.921 0.976
p.MC1_2018.Tillering.Tour_herb   0.068 0.166 0.000 0.000 0.003 0.012 0.048
p.MC2_2018.Ripening.Detritivore  0.025 0.054 0.000 0.000 0.002 0.007 0.023
p.MC2_2018.Ripening.Rice_herb    0.932 0.147 0.474 0.709 0.942 0.981 0.994
p.MC2_2018.Ripening.Tour_herb    0.043 0.134 0.000 0.000 0.001 0.005 0.021
