
#################################################################
# Summary Statistics
#################################################################

DIC = 5020.509

                                  Mean    SD  2.5%    5%   25%   50%   75%
p.MC1_2019.Flowering.Rice_herb   0.974 0.017 0.931 0.941 0.965 0.978 0.986
p.MC1_2019.Flowering.Tour_herb   0.021 0.017 0.003 0.004 0.009 0.017 0.029
p.MC1_2019.Ripening.Detritivore  0.002 0.003 0.000 0.000 0.000 0.001 0.003
p.MC1_2019.Ripening.Rice_herb    0.985 0.011 0.956 0.963 0.980 0.988 0.993
p.MC1_2019.Ripening.Tour_herb    0.013 0.011 0.001 0.002 0.005 0.010 0.017
p.MC2_2018.Tillering.Detritivore 0.116 0.088 0.018 0.025 0.055 0.095 0.151
p.MC2_2018.Tillering.Rice_herb   0.773 0.104 0.540 0.582 0.716 0.787 0.847
p.MC2_2018.Tillering.Tour_herb   0.111 0.075 0.014 0.020 0.056 0.096 0.149
p.MC2_2018.Flowering.Detritivore 0.003 0.004 0.000 0.000 0.001 0.002 0.003
p.MC2_2018.Flowering.Rice_herb   0.974 0.021 0.920 0.938 0.967 0.980 0.988
p.MC2_2018.Flowering.Tour_herb   0.023 0.021 0.002 0.003 0.010 0.018 0.030
p.MC2_2019.Tillering.Detritivore 0.576 0.136 0.297 0.346 0.486 0.580 0.671
p.MC2_2019.Tillering.Rice_herb   0.323 0.114 0.128 0.154 0.242 0.315 0.395
p.MC2_2019.Tillering.Tour_herb   0.101 0.063 0.016 0.022 0.053 0.089 0.138
p.MC2_2019.Flowering.Detritivore 0.030 0.023 0.004 0.006 0.014 0.024 0.040
p.MC2_2019.Flowering.Rice_herb   0.924 0.039 0.832 0.847 0.903 0.930 0.953
p.MC2_2019.Flowering.Tour_herb   0.047 0.031 0.007 0.010 0.023 0.040 0.062
p.MC3_2018.Tillering.Detritivore 0.465 0.181 0.137 0.183 0.335 0.457 0.591
p.MC3_2018.Tillering.Rice_herb   0.251 0.119 0.056 0.074 0.165 0.241 0.328
p.MC3_2018.Tillering.Tour_herb   0.283 0.123 0.057 0.085 0.196 0.279 0.364
p.MC3_2018.Flowering.Detritivore 0.035 0.042 0.002 0.003 0.010 0.022 0.042
