
#################################################################
# Summary Statistics
#################################################################

DIC = 5681.071

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.LC3_2019.Tillering.Rice_herb   0.258 0.080 0.114 0.132 0.200 0.252 0.313 0.396
p.LC3_2019.Tillering.Tour_herb   0.103 0.067 0.012 0.018 0.052 0.090 0.139 0.232
p.LC3_2019.Flowering.Detritivore 0.116 0.057 0.034 0.042 0.074 0.107 0.148 0.222
p.LC3_2019.Flowering.Rice_herb   0.834 0.070 0.669 0.708 0.793 0.845 0.886 0.929
p.LC3_2019.Flowering.Tour_herb   0.050 0.045 0.004 0.006 0.018 0.037 0.066 0.139
p.LC3_2019.Ripening.Detritivore  0.116 0.058 0.024 0.036 0.075 0.108 0.151 0.221
p.LC3_2019.Ripening.Rice_herb    0.859 0.062 0.719 0.749 0.821 0.869 0.904 0.946
p.LC3_2019.Ripening.Tour_herb    0.024 0.022 0.002 0.003 0.009 0.018 0.032 0.068
p.LO1_2018.Tillering.Detritivore 0.347 0.128 0.119 0.151 0.259 0.339 0.423 0.570
p.LO1_2018.Tillering.Rice_herb   0.301 0.117 0.091 0.121 0.217 0.294 0.376 0.504
p.LO1_2018.Tillering.Tour_herb   0.353 0.142 0.082 0.122 0.257 0.348 0.445 0.593
p.LO1_2018.Flowering.Detritivore 0.055 0.039 0.009 0.013 0.028 0.046 0.071 0.129
p.LO1_2018.Flowering.Rice_herb   0.793 0.124 0.479 0.547 0.733 0.819 0.883 0.943
p.LO1_2018.Flowering.Tour_herb   0.152 0.117 0.016 0.023 0.065 0.122 0.207 0.388
p.LO1_2018.Ripening.Detritivore  0.058 0.040 0.008 0.012 0.030 0.050 0.076 0.136
p.LO1_2018.Ripening.Rice_herb    0.858 0.094 0.607 0.681 0.822 0.881 0.921 0.957
p.LO1_2018.Ripening.Tour_herb    0.084 0.082 0.009 0.012 0.032 0.061 0.105 0.241
p.LO1_2019.Tillering.Detritivore 0.245 0.132 0.048 0.071 0.152 0.226 0.315 0.493
p.LO1_2019.Tillering.Rice_herb   0.574 0.135 0.270 0.330 0.494 0.583 0.667 0.777
p.LO1_2019.Tillering.Tour_herb   0.181 0.113 0.019 0.030 0.094 0.163 0.247 0.384
p.LO1_2019.Flowering.Detritivore 0.025 0.026 0.003 0.004 0.010 0.018 0.030 0.072
p.LO1_2019.Flowering.Rice_herb   0.930 0.052 0.792 0.831 0.909 0.943 0.966 0.983
p.LO1_2019.Flowering.Tour_herb   0.046 0.045 0.003 0.004 0.015 0.032 0.062 0.132
p.LO1_2019.Ripening.Detritivore  0.025 0.027 0.002 0.003 0.009 0.017 0.031 0.071
p.LO1_2019.Ripening.Rice_herb    0.952 0.037 0.854 0.882 0.939 0.962 0.977 0.989
p.LO1_2019.Ripening.Tour_herb    0.023 0.023 0.002 0.002 0.007 0.015 0.029 0.065
p.LO2_2018.Tillering.Detritivore 0.547 0.148 0.234 0.294 0.451 0.550 0.650 0.784
p.LO2_2018.Tillering.Rice_herb   0.266 0.109 0.091 0.108 0.185 0.255 0.337 0.461
p.LO2_2018.Tillering.Tour_herb   0.187 0.138 0.015 0.023 0.080 0.156 0.265 0.459
p.LO2_2018.Flowering.Detritivore 0.101 0.063 0.019 0.026 0.055 0.088 0.130 0.225
p.LO2_2018.Flowering.Rice_herb   0.810 0.099 0.582 0.622 0.755 0.828 0.885 0.939
p.LO2_2018.Flowering.Tour_herb   0.089 0.086 0.005 0.008 0.028 0.061 0.122 0.267
p.LO2_2018.Ripening.Detritivore  0.103 0.063 0.015 0.023 0.058 0.091 0.134 0.221
p.LO2_2018.Ripening.Rice_herb    0.854 0.072 0.685 0.721 0.812 0.863 0.908 0.951
p.LO2_2018.Ripening.Tour_herb    0.043 0.043 0.003 0.004 0.015 0.030 0.059 0.124
p.LO2_2019.Tillering.Detritivore 0.645 0.118 0.414 0.452 0.566 0.644 0.728 0.839
p.LO2_2019.Tillering.Rice_herb   0.221 0.097 0.050 0.072 0.147 0.216 0.286 0.386
p.LO2_2019.Tillering.Tour_herb   0.134 0.090 0.015 0.023 0.064 0.116 0.186 0.305
p.LO2_2019.Flowering.Detritivore 0.144 0.092 0.032 0.039 0.079 0.122 0.183 0.323
p.LO2_2019.Flowering.Rice_herb   0.779 0.123 0.456 0.540 0.721 0.806 0.868 0.924
p.LO2_2019.Flowering.Tour_herb   0.078 0.079 0.005 0.008 0.027 0.054 0.100 0.232
p.LO3_2018.Tillering.Detritivore 0.612 0.146 0.299 0.353 0.523 0.619 0.716 0.838
p.LO3_2018.Tillering.Rice_herb   0.271 0.113 0.076 0.096 0.187 0.263 0.353 0.468
p.LO3_2018.Tillering.Tour_herb   0.117 0.131 0.009 0.013 0.036 0.070 0.140 0.417
p.LO3_2018.Ripening.Detritivore  0.116 0.073 0.016 0.025 0.064 0.101 0.153 0.256
p.LO3_2018.Ripening.Rice_herb    0.855 0.081 0.660 0.700 0.812 0.872 0.914 0.956
p.LO3_2018.Ripening.Tour_herb    0.028 0.043 0.001 0.002 0.007 0.014 0.032 0.100
p.LO3_2019.Tillering.Detritivore 0.383 0.273 0.020 0.029 0.095 0.437 0.636 0.767
p.LO3_2019.Tillering.Rice_herb   0.557 0.273 0.155 0.181 0.306 0.501 0.840 0.930
p.LO3_2019.Tillering.Tour_herb   0.060 0.067 0.006 0.010 0.025 0.045 0.075 0.150
p.LO3_2019.Flowering.Detritivore 0.050 0.051 0.001 0.002 0.006 0.035 0.081 0.149
p.LO3_2019.Flowering.Rice_herb   0.932 0.062 0.786 0.814 0.895 0.949 0.984 0.995
p.LO3_2019.Flowering.Tour_herb   0.018 0.027 0.001 0.001 0.005 0.010 0.023 0.058
p.LO3_2019.Ripening.Detritivore  0.046 0.047 0.001 0.002 0.006 0.030 0.076 0.138
p.LO3_2019.Ripening.Rice_herb    0.945 0.050 0.823 0.848 0.912 0.960 0.989 0.996
p.LO3_2019.Ripening.Tour_herb    0.009 0.011 0.000 0.001 0.002 0.005 0.011 0.026
p.MC_2017.Tillering.Detritivore  0.618 0.166 0.272 0.335 0.503 0.624 0.743 0.874
