
#################################################################
# Summary Statistics
#################################################################

DIC = 4782.265

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.LO1_2019.Ripening.Rice_herb    0.563 0.391 0.001 0.003 0.088 0.757 0.914 0.987
p.LO1_2019.Ripening.Tour_herb    0.346 0.409 0.000 0.000 0.003 0.038 0.822 0.982
p.LO2_2018.Tillering.Detritivore 0.440 0.267 0.009 0.021 0.199 0.460 0.658 0.854
p.LO2_2018.Tillering.Rice_herb   0.273 0.262 0.001 0.003 0.032 0.205 0.443 0.816
p.LO2_2018.Tillering.Tour_herb   0.287 0.355 0.000 0.000 0.006 0.047 0.594 0.954
p.LO2_2018.Ripening.Detritivore  0.118 0.121 0.002 0.004 0.027 0.084 0.170 0.355
p.LO2_2018.Ripening.Rice_herb    0.532 0.385 0.001 0.003 0.061 0.707 0.882 0.974
p.LO2_2018.Ripening.Tour_herb    0.350 0.415 0.000 0.000 0.003 0.032 0.850 0.984
p.LO3_2018.Tillering.Detritivore 0.458 0.224 0.008 0.029 0.319 0.485 0.618 0.794
p.LO3_2018.Tillering.Rice_herb   0.269 0.235 0.001 0.003 0.033 0.250 0.451 0.669
p.LO3_2018.Tillering.Tour_herb   0.272 0.335 0.000 0.000 0.006 0.043 0.540 0.941
p.LO3_2018.Ripening.Detritivore  0.112 0.096 0.003 0.006 0.042 0.091 0.157 0.292
p.LO3_2018.Ripening.Rice_herb    0.537 0.392 0.001 0.003 0.052 0.752 0.888 0.959
p.LO3_2018.Ripening.Tour_herb    0.351 0.416 0.000 0.000 0.003 0.028 0.845 0.976
p.LO3_2019.Tillering.Detritivore 0.147 0.235 0.004 0.007 0.027 0.056 0.116 0.803
p.LO3_2019.Tillering.Rice_herb   0.486 0.434 0.001 0.002 0.017 0.448 0.932 0.978
p.LO3_2019.Tillering.Tour_herb   0.367 0.443 0.000 0.000 0.003 0.023 0.921 0.983
p.LO3_2019.Ripening.Detritivore  0.029 0.069 0.001 0.001 0.003 0.008 0.020 0.147
p.LO3_2019.Ripening.Rice_herb    0.589 0.456 0.001 0.001 0.024 0.923 0.990 0.997
p.LO3_2019.Ripening.Tour_herb    0.382 0.462 0.000 0.000 0.001 0.010 0.962 0.995
p.MC_2017.Tillering.Detritivore  0.409 0.257 0.009 0.025 0.188 0.403 0.607 0.859
p.MC_2017.Tillering.Rice_herb    0.315 0.286 0.001 0.002 0.043 0.248 0.538 0.849
p.MC_2017.Tillering.Tour_herb    0.276 0.338 0.000 0.000 0.006 0.061 0.541 0.941
p.MC1_2018.Tillering.Detritivore 0.433 0.280 0.007 0.016 0.176 0.437 0.658 0.884
p.MC1_2018.Tillering.Rice_herb   0.278 0.274 0.001 0.002 0.031 0.187 0.469 0.832
p.MC1_2018.Tillering.Tour_herb   0.289 0.359 0.000 0.000 0.006 0.046 0.614 0.963
p.MC2_2018.Ripening.Detritivore  0.099 0.122 0.001 0.003 0.018 0.053 0.134 0.367
p.MC2_2018.Ripening.Rice_herb    0.569 0.387 0.001 0.002 0.094 0.736 0.928 0.987
p.MC2_2018.Ripening.Tour_herb    0.331 0.402 0.000 0.000 0.003 0.037 0.800 0.984
p.MC2_2019.Flowering.Detritivore 0.074 0.076 0.004 0.007 0.024 0.053 0.099 0.211
p.MC2_2019.Flowering.Rice_herb   0.570 0.410 0.002 0.005 0.069 0.826 0.934 0.982
p.MC2_2019.Flowering.Tour_herb   0.356 0.417 0.000 0.000 0.005 0.036 0.850 0.971
p.MC3_2019.Flowering.Detritivore 0.132 0.107 0.006 0.010 0.047 0.106 0.192 0.342
p.MC3_2019.Flowering.Rice_herb   0.538 0.350 0.003 0.007 0.139 0.668 0.850 0.960
p.MC3_2019.Flowering.Tour_herb   0.330 0.371 0.000 0.001 0.008 0.088 0.724 0.949
p.MC3_2019.Ripening.Detritivore  0.057 0.061 0.001 0.002 0.013 0.035 0.081 0.179
p.MC3_2019.Ripening.Rice_herb    0.585 0.409 0.001 0.002 0.067 0.833 0.947 0.987
p.MC3_2019.Ripening.Tour_herb    0.359 0.424 0.000 0.000 0.003 0.036 0.878 0.987
p.MO_2017.Tillering.Detritivore  0.568 0.233 0.025 0.081 0.435 0.607 0.740 0.894
p.MO_2017.Tillering.Rice_herb    0.208 0.190 0.002 0.003 0.039 0.162 0.331 0.587
p.MO_2017.Tillering.Tour_herb    0.224 0.282 0.000 0.000 0.006 0.059 0.387 0.856
p.MO_2017.Flowering.Detritivore  0.357 0.178 0.028 0.060 0.225 0.358 0.484 0.652
p.MO_2017.Flowering.Rice_herb    0.389 0.254 0.004 0.011 0.150 0.412 0.587 0.792
p.MO_2017.Flowering.Tour_herb    0.254 0.287 0.000 0.001 0.011 0.094 0.479 0.820
