
#################################################################
# Summary Statistics
#################################################################

DIC = 4904.751

                                  Mean    SD  2.5%    5%   25%   50%   75%    95%
p.LC3_2019.Flowering.Tour_herb   0.032 0.057 0.000 0.000 0.003 0.012 0.035  0.137
p.LC3_2019.Ripening.Detritivore  0.010 0.019 0.000 0.000 0.001 0.003 0.010  0.041
p.LC3_2019.Ripening.Predator     0.812 0.301 0.005 0.017 0.831 0.949 0.983  0.997
p.LC3_2019.Ripening.Rice_herb    0.167 0.296 0.000 0.001 0.007 0.029 0.130  0.963
p.LC3_2019.Ripening.Tour_herb    0.011 0.027 0.000 0.000 0.001 0.003 0.010  0.047
p.LO1_2018.Tillering.Detritivore 0.050 0.078 0.000 0.000 0.004 0.019 0.062  0.207
p.LO1_2018.Tillering.Predator    0.691 0.233 0.029 0.144 0.600 0.755 0.854  0.948
p.LO1_2018.Tillering.Rice_herb   0.207 0.202 0.006 0.012 0.064 0.147 0.274  0.654
p.LO1_2018.Tillering.Tour_herb   0.052 0.073 0.000 0.000 0.004 0.020 0.072  0.213
p.LO1_2018.Flowering.Detritivore 0.025 0.043 0.000 0.000 0.003 0.010 0.028  0.101
p.LO1_2018.Flowering.Predator    0.823 0.217 0.098 0.256 0.798 0.905 0.953  0.986
p.LO1_2018.Flowering.Rice_herb   0.124 0.187 0.002 0.004 0.021 0.051 0.124  0.594
p.LO1_2018.Flowering.Tour_herb   0.028 0.047 0.000 0.000 0.003 0.011 0.032  0.118
p.LO1_2018.Ripening.Detritivore  0.009 0.021 0.000 0.000 0.001 0.002 0.009  0.040
p.LO1_2018.Ripening.Predator     0.847 0.277 0.022 0.078 0.902 0.969 0.989  0.997
p.LO1_2018.Ripening.Rice_herb    0.132 0.265 0.000 0.001 0.005 0.017 0.066  0.870
p.LO1_2018.Ripening.Tour_herb    0.012 0.034 0.000 0.000 0.001 0.003 0.008  0.049
p.LO1_2019.Ripening.Detritivore  0.011 0.021 0.000 0.000 0.001 0.003 0.010  0.047
p.LO1_2019.Ripening.Predator     0.826 0.283 0.005 0.020 0.849 0.942 0.980  0.996
p.LO1_2019.Ripening.Rice_herb    0.152 0.277 0.001 0.001 0.009 0.035 0.114  0.949
p.LO1_2019.Ripening.Tour_herb    0.012 0.025 0.000 0.000 0.001 0.003 0.011  0.050
p.LO2_2018.Tillering.Detritivore 0.077 0.124 0.000 0.001 0.005 0.023 0.087  0.344
p.LO2_2018.Tillering.Predator    0.471 0.255 0.016 0.038 0.276 0.478 0.660  0.900
p.LO2_2018.Tillering.Rice_herb   0.373 0.272 0.008 0.017 0.133 0.340 0.565  0.894
p.LO2_2018.Tillering.Tour_herb   0.079 0.134 0.000 0.000 0.004 0.020 0.085  0.379
p.LO2_2018.Ripening.Detritivore  0.015 0.030 0.000 0.000 0.001 0.004 0.015  0.064
p.LO2_2018.Ripening.Predator     0.782 0.292 0.005 0.017 0.762 0.902 0.966  0.993
p.LO2_2018.Ripening.Rice_herb    0.188 0.288 0.001 0.002 0.015 0.062 0.190  0.959
