
#################################################################
# Summary Statistics
#################################################################

DIC = 5560.759

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.LC2_2019.Tillering.Tour_herb   0.049 0.048 0.003 0.004 0.016 0.035 0.065 0.145
p.LC2_2019.Flowering.Detritivore 0.048 0.042 0.007 0.010 0.021 0.036 0.062 0.126
p.LC2_2019.Flowering.Predator    0.128 0.124 0.005 0.008 0.035 0.087 0.181 0.390
p.LC2_2019.Flowering.Rice_herb   0.770 0.157 0.380 0.463 0.686 0.808 0.890 0.953
p.LC2_2019.Flowering.Tour_herb   0.054 0.062 0.003 0.005 0.016 0.035 0.068 0.170
p.LC3_2018.Tillering.Detritivore 0.233 0.123 0.053 0.071 0.143 0.214 0.302 0.456
p.LC3_2018.Tillering.Predator    0.325 0.202 0.029 0.043 0.160 0.302 0.462 0.694
p.LC3_2018.Tillering.Rice_herb   0.387 0.156 0.084 0.120 0.281 0.393 0.496 0.639
p.LC3_2018.Tillering.Tour_herb   0.055 0.059 0.003 0.004 0.016 0.036 0.073 0.169
p.LC3_2018.Flowering.Detritivore 0.011 0.012 0.001 0.002 0.004 0.008 0.014 0.032
p.LC3_2018.Flowering.Predator    0.085 0.092 0.003 0.005 0.022 0.055 0.113 0.284
p.LC3_2018.Flowering.Rice_herb   0.871 0.103 0.586 0.656 0.831 0.902 0.944 0.974
p.LC3_2018.Flowering.Tour_herb   0.032 0.040 0.002 0.003 0.009 0.019 0.040 0.101
p.LC3_2018.Ripening.Detritivore  0.003 0.004 0.000 0.000 0.001 0.002 0.004 0.011
p.LC3_2018.Ripening.Predator     0.029 0.040 0.001 0.001 0.005 0.015 0.035 0.108
p.LC3_2018.Ripening.Rice_herb    0.953 0.050 0.819 0.861 0.940 0.968 0.984 0.994
p.LC3_2018.Ripening.Tour_herb    0.015 0.026 0.001 0.001 0.004 0.008 0.017 0.048
p.LC3_2019.Tillering.Detritivore 0.601 0.114 0.397 0.422 0.521 0.593 0.676 0.798
p.LC3_2019.Tillering.Predator    0.194 0.119 0.020 0.029 0.093 0.183 0.281 0.407
p.LC3_2019.Tillering.Rice_herb   0.162 0.091 0.033 0.045 0.094 0.145 0.216 0.337
p.LC3_2019.Tillering.Tour_herb   0.043 0.042 0.003 0.004 0.014 0.030 0.057 0.126
p.LC3_2019.Flowering.Detritivore 0.065 0.045 0.012 0.015 0.032 0.053 0.084 0.156
p.LC3_2019.Flowering.Predator    0.104 0.094 0.005 0.008 0.033 0.077 0.148 0.298
p.LC3_2019.Flowering.Rice_herb   0.778 0.121 0.506 0.556 0.701 0.798 0.872 0.938
p.LC3_2019.Flowering.Tour_herb   0.053 0.054 0.004 0.006 0.017 0.037 0.071 0.157
p.LC3_2019.Ripening.Detritivore  0.019 0.023 0.001 0.002 0.005 0.011 0.024 0.058
p.LC3_2019.Ripening.Predator     0.038 0.046 0.001 0.002 0.008 0.021 0.049 0.141
p.LC3_2019.Ripening.Rice_herb    0.917 0.067 0.750 0.789 0.887 0.935 0.964 0.986
p.LC3_2019.Ripening.Tour_herb    0.027 0.033 0.002 0.002 0.008 0.016 0.034 0.081
p.LO1_2018.Tillering.Detritivore 0.324 0.156 0.085 0.109 0.209 0.299 0.414 0.619
p.LO1_2018.Tillering.Predator    0.372 0.197 0.040 0.067 0.217 0.369 0.512 0.715
p.LO1_2018.Tillering.Rice_herb   0.174 0.119 0.022 0.030 0.083 0.149 0.240 0.409
p.LO1_2018.Tillering.Tour_herb   0.129 0.110 0.004 0.006 0.035 0.103 0.199 0.343
p.LO1_2018.Flowering.Detritivore 0.031 0.031 0.003 0.004 0.012 0.022 0.038 0.091
p.LO1_2018.Flowering.Predator    0.172 0.146 0.009 0.014 0.057 0.135 0.249 0.471
p.LO1_2018.Flowering.Rice_herb   0.665 0.188 0.240 0.303 0.548 0.699 0.811 0.921
p.LO1_2018.Flowering.Tour_herb   0.131 0.126 0.006 0.010 0.041 0.093 0.180 0.395
p.LO1_2018.Ripening.Detritivore  0.010 0.015 0.000 0.001 0.002 0.005 0.012 0.036
p.LO1_2018.Ripening.Predator     0.066 0.071 0.002 0.003 0.016 0.042 0.090 0.218
