
#################################################################
# Summary Statistics
#################################################################

DIC = 4922.612

                                  Mean    SD  2.5%    5%   25%   50%   75%   95%
p.LC3_2019.Tillering.Tour_herb   0.043 0.030 0.006 0.008 0.021 0.037 0.057 0.103
p.LC3_2019.Flowering.Detritivore 0.087 0.049 0.023 0.028 0.052 0.078 0.111 0.181
p.LC3_2019.Flowering.Predator    0.022 0.032 0.000 0.001 0.004 0.010 0.027 0.083
p.LC3_2019.Flowering.Rice_herb   0.847 0.074 0.670 0.702 0.807 0.860 0.900 0.941
p.LC3_2019.Flowering.Tour_herb   0.044 0.034 0.006 0.008 0.020 0.035 0.059 0.110
p.LC3_2019.Ripening.Detritivore  0.064 0.053 0.005 0.007 0.025 0.050 0.088 0.166
p.LC3_2019.Ripening.Predator     0.014 0.028 0.000 0.000 0.001 0.004 0.013 0.061
p.LC3_2019.Ripening.Rice_herb    0.901 0.066 0.733 0.775 0.868 0.918 0.949 0.978
p.LC3_2019.Ripening.Tour_herb    0.021 0.018 0.002 0.003 0.008 0.015 0.027 0.058
p.LO1_2018.Tillering.Detritivore 0.445 0.192 0.112 0.149 0.301 0.431 0.575 0.793
p.LO1_2018.Tillering.Predator    0.068 0.081 0.001 0.001 0.012 0.038 0.092 0.236
p.LO1_2018.Tillering.Rice_herb   0.174 0.114 0.020 0.027 0.083 0.154 0.240 0.385
p.LO1_2018.Tillering.Tour_herb   0.313 0.153 0.034 0.068 0.207 0.309 0.412 0.579
p.LO1_2019.Tillering.Detritivore 0.128 0.085 0.023 0.031 0.068 0.109 0.167 0.280
p.LO1_2019.Tillering.Predator    0.057 0.073 0.000 0.001 0.008 0.029 0.076 0.216
p.LO1_2019.Tillering.Rice_herb   0.702 0.115 0.452 0.501 0.629 0.710 0.787 0.875
p.LO1_2019.Tillering.Tour_herb   0.113 0.081 0.013 0.018 0.052 0.095 0.155 0.267
p.LO1_2019.Flowering.Detritivore 0.006 0.007 0.001 0.001 0.002 0.004 0.008 0.017
p.LO1_2019.Flowering.Predator    0.012 0.020 0.000 0.000 0.002 0.005 0.013 0.047
p.LO1_2019.Flowering.Rice_herb   0.940 0.043 0.828 0.857 0.921 0.950 0.970 0.986
p.LO1_2019.Flowering.Tour_herb   0.042 0.036 0.004 0.006 0.017 0.032 0.056 0.111
p.LO1_2019.Ripening.Detritivore  0.004 0.007 0.000 0.000 0.001 0.003 0.005 0.014
p.LO1_2019.Ripening.Predator     0.007 0.016 0.000 0.000 0.001 0.002 0.006 0.029
p.LO1_2019.Ripening.Rice_herb    0.969 0.028 0.897 0.919 0.962 0.977 0.986 0.994
p.LO1_2019.Ripening.Tour_herb    0.019 0.020 0.002 0.002 0.007 0.014 0.025 0.056
p.LO2_2018.Tillering.Detritivore 0.418 0.142 0.172 0.209 0.319 0.403 0.507 0.681
p.LO2_2018.Tillering.Predator    0.100 0.117 0.001 0.001 0.015 0.051 0.150 0.346
p.LO2_2018.Tillering.Rice_herb   0.309 0.113 0.110 0.131 0.223 0.306 0.383 0.501
p.LO2_2018.Tillering.Tour_herb   0.173 0.092 0.025 0.037 0.104 0.164 0.229 0.337
p.LO2_2018.Flowering.Detritivore 0.041 0.033 0.007 0.010 0.020 0.033 0.051 0.100
p.LO2_2018.Flowering.Predator    0.040 0.056 0.000 0.001 0.006 0.018 0.051 0.151
p.LO2_2018.Flowering.Rice_herb   0.794 0.099 0.559 0.607 0.739 0.811 0.868 0.926
p.LO2_2018.Flowering.Tour_herb   0.125 0.074 0.020 0.030 0.071 0.113 0.165 0.257
p.LO2_2018.Ripening.Detritivore  0.031 0.029 0.002 0.003 0.011 0.022 0.042 0.087
p.LO2_2018.Ripening.Predator     0.023 0.039 0.000 0.000 0.002 0.008 0.026 0.098
p.LO2_2018.Ripening.Rice_herb    0.885 0.068 0.711 0.751 0.852 0.900 0.934 0.965
p.LO2_2018.Ripening.Tour_herb    0.061 0.042 0.009 0.013 0.031 0.052 0.081 0.142
p.LO2_2019.Tillering.Detritivore 0.666 0.098 0.481 0.506 0.598 0.667 0.731 0.834
p.LO2_2019.Tillering.Predator    0.051 0.062 0.000 0.001 0.008 0.028 0.072 0.181
p.LO2_2019.Tillering.Rice_herb   0.222 0.083 0.076 0.093 0.161 0.218 0.277 0.360
p.LO2_2019.Tillering.Tour_herb   0.061 0.042 0.008 0.011 0.028 0.051 0.084 0.143
p.LO2_2019.Flowering.Detritivore 0.091 0.053 0.022 0.028 0.053 0.080 0.117 0.193
p.LO2_2019.Flowering.Predator    0.029 0.040 0.000 0.001 0.005 0.013 0.036 0.109
p.LO2_2019.Flowering.Rice_herb   0.818 0.086 0.620 0.659 0.768 0.833 0.881 0.929
p.LO2_2019.Flowering.Tour_herb   0.063 0.047 0.009 0.012 0.030 0.051 0.082 0.152
p.LO3_2018.Tillering.Detritivore 0.648 0.153 0.339 0.387 0.545 0.652 0.766 0.885
p.LO3_2018.Tillering.Predator    0.055 0.067 0.000 0.001 0.009 0.029 0.075 0.192
p.LO3_2018.Tillering.Rice_herb   0.170 0.098 0.036 0.046 0.094 0.151 0.227 0.359
p.LO3_2018.Tillering.Tour_herb   0.127 0.093 0.010 0.016 0.055 0.108 0.180 0.307
p.LO3_2018.Ripening.Detritivore  0.092 0.082 0.005 0.008 0.030 0.066 0.130 0.258
p.LO3_2018.Ripening.Predator     0.024 0.043 0.000 0.000 0.002 0.008 0.026 0.099
p.LO3_2018.Ripening.Rice_herb    0.808 0.108 0.560 0.605 0.744 0.827 0.891 0.948
p.LO3_2018.Ripening.Tour_herb    0.077 0.060 0.007 0.011 0.034 0.063 0.103 0.191
p.LO3_2019.Tillering.Detritivore 0.285 0.106 0.100 0.124 0.212 0.278 0.350 0.469
p.LO3_2019.Tillering.Predator    0.128 0.163 0.001 0.001 0.014 0.055 0.184 0.494
p.LO3_2019.Tillering.Rice_herb   0.466 0.144 0.116 0.186 0.388 0.481 0.563 0.672
p.LO3_2019.Tillering.Tour_herb   0.121 0.078 0.017 0.023 0.061 0.107 0.165 0.259
p.MC_2017.Tillering.Detritivore  0.508 0.169 0.190 0.234 0.385 0.504 0.633 0.792
p.MC_2017.Tillering.Predator     0.066 0.082 0.001 0.001 0.011 0.035 0.090 0.241
p.MC_2017.Tillering.Rice_herb    0.266 0.109 0.092 0.110 0.186 0.253 0.334 0.462
p.MC_2017.Tillering.Tour_herb    0.160 0.102 0.015 0.022 0.078 0.147 0.226 0.342
p.MC_2017.Flowering.Detritivore  0.060 0.045 0.008 0.012 0.027 0.048 0.081 0.148
p.MC_2017.Flowering.Predator     0.030 0.040 0.000 0.001 0.005 0.014 0.038 0.109
p.MC_2017.Flowering.Rice_herb    0.788 0.082 0.611 0.640 0.737 0.798 0.847 0.910
p.MC_2017.Flowering.Tour_herb    0.122 0.067 0.019 0.030 0.071 0.114 0.161 0.247
p.MC_2017.Ripening.Detritivore   0.047 0.046 0.002 0.004 0.014 0.031 0.065 0.142
p.MC_2017.Ripening.Predator      0.017 0.027 0.000 0.000 0.002 0.006 0.021 0.072
p.MC_2017.Ripening.Rice_herb     0.875 0.065 0.725 0.756 0.835 0.885 0.924 0.964
p.MC_2017.Ripening.Tour_herb     0.061 0.042 0.008 0.011 0.030 0.052 0.082 0.142
p.MC1_2018.Tillering.Detritivore 0.144 0.115 0.022 0.030 0.071 0.116 0.182 0.334
p.MC1_2018.Tillering.Predator    0.044 0.056 0.000 0.001 0.008 0.023 0.061 0.161
p.MC1_2018.Tillering.Rice_herb   0.621 0.215 0.098 0.139 0.525 0.678 0.775 0.879
p.MC1_2018.Tillering.Tour_herb   0.190 0.189 0.012 0.016 0.056 0.120 0.253 0.619
p.MC1_2018.Flowering.Detritivore 0.010 0.020 0.001 0.001 0.003 0.005 0.010 0.026
p.MC1_2018.Flowering.Predator    0.012 0.020 0.000 0.000 0.001 0.004 0.013 0.045
p.MC1_2018.Flowering.Rice_herb   0.879 0.149 0.421 0.518 0.860 0.939 0.968 0.988
p.MC1_2018.Flowering.Tour_herb   0.100 0.138 0.003 0.005 0.019 0.043 0.114 0.429
p.MC1_2018.Ripening.Detritivore  0.007 0.017 0.000 0.000 0.001 0.003 0.007 0.024
p.MC1_2018.Ripening.Predator     0.007 0.018 0.000 0.000 0.001 0.002 0.006 0.031
p.MC1_2018.Ripening.Rice_herb    0.934 0.096 0.648 0.734 0.930 0.969 0.985 0.994
p.MC1_2018.Ripening.Tour_herb    0.052 0.086 0.001 0.002 0.008 0.019 0.052 0.228
p.MC1_2019.Tillering.Detritivore 0.197 0.120 0.036 0.048 0.106 0.175 0.260 0.427
p.MC1_2019.Tillering.Predator    0.051 0.063 0.001 0.001 0.008 0.027 0.069 0.179
p.MC1_2019.Tillering.Rice_herb   0.650 0.138 0.343 0.410 0.570 0.661 0.745 0.859
p.MC1_2019.Tillering.Tour_herb   0.103 0.085 0.011 0.016 0.043 0.078 0.137 0.260
p.MC1_2019.Flowering.Detritivore 0.011 0.012 0.001 0.001 0.004 0.007 0.014 0.031
p.MC1_2019.Flowering.Predator    0.012 0.021 0.000 0.000 0.002 0.005 0.014 0.048
p.MC1_2019.Flowering.Rice_herb   0.935 0.051 0.805 0.839 0.918 0.948 0.969 0.986
p.MC1_2019.Flowering.Tour_herb   0.042 0.041 0.004 0.006 0.016 0.030 0.054 0.120
p.MC1_2019.Ripening.Detritivore  0.008 0.011 0.000 0.000 0.002 0.004 0.010 0.026
p.MC1_2019.Ripening.Predator     0.008 0.020 0.000 0.000 0.001 0.002 0.007 0.032
p.MC1_2019.Ripening.Rice_herb    0.965 0.035 0.872 0.904 0.956 0.975 0.985 0.994
p.MC1_2019.Ripening.Tour_herb    0.020 0.023 0.001 0.002 0.006 0.013 0.024 0.060
p.MC2_2018.Tillering.Detritivore 0.318 0.243 0.036 0.048 0.128 0.236 0.461 0.820
p.MC2_2018.Tillering.Predator    0.056 0.071 0.000 0.001 0.009 0.029 0.074 0.196
p.MC2_2018.Tillering.Rice_herb   0.440 0.254 0.027 0.047 0.205 0.463 0.650 0.825
p.MC2_2018.Tillering.Tour_herb   0.186 0.186 0.012 0.018 0.058 0.118 0.242 0.622
p.MC2_2019.Tillering.Detritivore 0.672 0.134 0.409 0.449 0.581 0.675 0.770 0.891
p.MC2_2019.Tillering.Predator    0.058 0.074 0.000 0.001 0.009 0.030 0.076 0.218
p.MC2_2019.Tillering.Rice_herb   0.168 0.106 0.018 0.027 0.083 0.152 0.239 0.360
p.MC2_2019.Tillering.Tour_herb   0.102 0.075 0.010 0.015 0.047 0.084 0.139 0.245
p.MC3_2018.Tillering.Detritivore 0.414 0.167 0.129 0.165 0.292 0.399 0.527 0.711
p.MC3_2018.Tillering.Predator    0.099 0.117 0.001 0.001 0.014 0.050 0.141 0.366
p.MC3_2018.Tillering.Rice_herb   0.243 0.114 0.064 0.081 0.157 0.228 0.314 0.451
p.MC3_2018.Tillering.Tour_herb   0.245 0.119 0.039 0.059 0.161 0.235 0.321 0.460
p.MC3_2018.Flowering.Detritivore 0.049 0.044 0.007 0.009 0.021 0.037 0.062 0.132
p.MC3_2018.Flowering.Predator    0.046 0.066 0.000 0.001 0.006 0.021 0.058 0.191
p.MC3_2018.Flowering.Rice_herb   0.701 0.134 0.393 0.447 0.624 0.719 0.797 0.890
p.MC3_2018.Flowering.Tour_herb   0.204 0.107 0.038 0.055 0.126 0.188 0.267 0.403
p.MC3_2018.Ripening.Detritivore  0.039 0.042 0.002 0.003 0.012 0.027 0.050 0.118
p.MC3_2018.Ripening.Predator     0.032 0.057 0.000 0.000 0.002 0.010 0.032 0.144
p.MC3_2018.Ripening.Rice_herb    0.821 0.106 0.555 0.619 0.765 0.843 0.899 0.951
p.MC3_2018.Ripening.Tour_herb    0.109 0.073 0.016 0.023 0.056 0.092 0.143 0.249
p.MC3_2019.Tillering.Detritivore 0.191 0.105 0.041 0.055 0.115 0.175 0.248 0.384
p.MC3_2019.Tillering.Predator    0.098 0.111 0.001 0.001 0.015 0.054 0.151 0.343
p.MC3_2019.Tillering.Rice_herb   0.287 0.117 0.073 0.095 0.199 0.288 0.370 0.479
p.MC3_2019.Tillering.Tour_herb   0.423 0.100 0.238 0.270 0.355 0.419 0.484 0.603
p.MC3_2019.Flowering.Detritivore 0.017 0.017 0.002 0.003 0.007 0.012 0.021 0.047
p.MC3_2019.Flowering.Predator    0.034 0.046 0.000 0.001 0.005 0.017 0.044 0.133
p.MC3_2019.Flowering.Rice_herb   0.658 0.138 0.356 0.400 0.569 0.673 0.762 0.858
p.MC3_2019.Flowering.Tour_herb   0.290 0.119 0.097 0.115 0.199 0.281 0.368 0.506
p.MC3_2019.Ripening.Detritivore  0.014 0.015 0.001 0.001 0.004 0.009 0.018 0.041
p.MC3_2019.Ripening.Predator     0.023 0.037 0.000 0.000 0.002 0.008 0.026 0.099
p.MC3_2019.Ripening.Rice_herb    0.806 0.099 0.561 0.616 0.755 0.826 0.876 0.931
p.MC3_2019.Ripening.Tour_herb    0.158 0.084 0.043 0.053 0.099 0.140 0.200 0.319
p.MO_2017.Tillering.Detritivore  0.261 0.165 0.037 0.052 0.135 0.228 0.355 0.588
p.MO_2017.Tillering.Predator     0.079 0.108 0.000 0.001 0.010 0.035 0.102 0.319
p.MO_2017.Tillering.Rice_herb    0.141 0.121 0.019 0.026 0.059 0.104 0.180 0.391
p.MO_2017.Tillering.Tour_herb    0.519 0.186 0.151 0.197 0.390 0.524 0.659 0.811
p.MO_2017.Flowering.Detritivore  0.034 0.032 0.003 0.004 0.012 0.024 0.045 0.100
p.MO_2017.Flowering.Predator     0.036 0.049 0.001 0.001 0.006 0.017 0.047 0.136
p.MO_2017.Flowering.Rice_herb    0.422 0.190 0.128 0.161 0.284 0.395 0.524 0.810
p.MO_2017.Flowering.Tour_herb    0.508 0.179 0.073 0.143 0.415 0.531 0.631 0.767
p.MO_2017.Ripening.Detritivore   0.033 0.036 0.001 0.002 0.009 0.021 0.044 0.107
p.MO_2017.Ripening.Predator      0.030 0.052 0.000 0.000 0.003 0.011 0.034 0.129
p.MO_2017.Ripening.Rice_herb     0.598 0.177 0.255 0.304 0.480 0.600 0.723 0.898
p.MO_2017.Ripening.Tour_herb     0.338 0.161 0.037 0.071 0.229 0.335 0.440 0.617
